micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
qui ce puet estre,  si demandent de quel corsage ! il estoit  et de quel façon. «  Par foi, fait il, ce est J. des plus biaux chevaliers del monde 	qui ce puet estre.  si demandent de quel courage il est et de quelle facon.  Certes font ilz cest lun des plus beaux cheualiers du monde. 	Si demanderent de quel fachon il estoit.  Par foy font il chest vns dez plus biaus cheualiers del monde. 	qui se peult estre/ si demandent de quel corsaige il estoit, et de quelle facon.  Par ma foy font il cest ung des plus beaux cheualiers du mende	qui ce puet estre  si demandent de quel corsage il estoit Et de quel fachon.  par foi font il.  ce est .i. des plus biaux cheualiers del monde. 	que li cheualiers pooit estre.  Si demandent de quel corage il estoit.  et de quel sanblant.  Si maist diex font il cest li plus biax cheualiers dou monde. 	entonçes fueron ellos mucho marauillados quien podia ser  e preguntaron  que fechuras hauia pordios dixeron ellos el es el mas fermoso cauallero del mundo 	chi elli può essere,  si domandarono di qual coraggio? elli era e di qual fazione.  eePer fé, dicon elli,  ciò è un de più be cavalieri del mondo, 
et est I. poibrunez 	et est ung pou brunet. 	Et est vn poi brunes 	si est ung petit brunet/ 	et est .i. poi brunez. 	et est 	y es Vn poco baço 	ed è un poco brunetto 
et ne puet pas avoir plus de XXVI. anz  et est tonduz de novel. »	et ne puet pas auoir plus de xxui. ans.  et est tondu de nouuel. 	et ne puet pas auoir plus haut de. XXV. ans.  et est tondus de nouel. 	et ne peult pas auoir plus de .xxu. ans/  et est nouuellement rez et tendu 	et ne puet pas auoir plus de .xxui. anz.  et si est tonduz de nouuel 	Et si est tousez tout de nouel. 	y puede hauer fasta veinte y çinco años  y anda trasquilado de poco aca 	e non puote passo avere più di xxvi. anni, ed è trusciolato di novellos. 
Et quant il oient cels paroles,  si sont plus desvoié que devant,	Et quant ilz oyent ces paroles 	Et quant il oient ce  si sont plus desuoiet que deuant 	Et quant ilz ouyrent ces ensaignes/  si sont plus esmaies et desuoyes que deuant 	Et quant il oient ices ensaingnes.  si sont plus desuoie que deuant. 	quant il entandent ceste nouelle  si sont plus esbahi que deuant. 	e desto fueron ellos marauilados 	E quando elli udirono queste insegne,  si sono più disviati  che davanti, 
si ne sevent que dire,  si demorent laienz une semainne entiere et	si ne scauent que dire  et sont plus desuoyez que deuant.  si ne se partent dune sepmaine entiere. 	si nen seuent que dire.  ains demorent laiens vne semaine 	et ne scaiuent  que dire/  ainsi demourerent une sepmaine entiere/ 	si ne seuent que dire.  si demorent laienz une semaine entiere.	Si demorerent laiens une cemainne. toute entiere. 	porque no podian conoçer quien hera  y moraron y quinze dias 	si non sanno  che dire;  si dimorarono là entro una settimana intera, 
tant que Gueheriez fu auques gariz.  Lors s’am partirent tuit III. et demandent  quelz armes li chevaliers emporta,  quant il s’em parti  et il dient « unes noires  et un escu blanc a I. lion noir. » 	Et quant gaheries fu aucques guery.  lors sem partent tous troys  et demandent  qu ilz armes le cheualier emporta  quant il se party.  et ilz dient unes noires  et ung escu a ung lion noir. 	tant que Gaheries fu bien garis.  Lors sen partirent tout troi.  Et demandent  quels armes li cheuarliers enporta.  Et il dient vnes noires.  et. j. noir escu a. j. blanc lyon 	tant que gaheriet fut pres de gari  lors sen partirent tous trois  sy demandent  quelles armes le cheualier emporta  et il dient unes noires et ung escu blanc a ung lyon noir/ 	Et tant que Gaħ. fu auques gariz.  lors sen partirent tuit troi. Et demandent quiex armes li cheualiers. emporta  quant il sen parti. et il dient unes noires  et .i. escu blanc a .i. lyon noir.	tant que Gaher. fu tous sains. et quant il fu garis  si sen partirent tui troi et au departir demanderent ques armes li cheualiers en porta  quant il sen parti.  et il dient unes totes noires  et .i. noir escu et .i. blanc haubert.  et en son escu apoint .i. escu blanc. 	fastaque gariet fue sano  e departieron y preguntaron porel cauallero  que armas lleuaua  y dixeronle  que llebaua vnas armas negras y vn leon blanco enel escudo 	e tanto che Gariet fu alquanto guarito. Allor si partirono tutti e tre  e domandarono quali armi il cavaliere ne portò  quand’e' si parti,  e elli li dicono una nera e uno scudo bianco con un leon neros. 
Et il se metent aprés tot le chemin 	Et ilz se metent apres tout le chemin 	Et il se metent apres tout le chemin 	et ilz se mettent aprez tout le chemin	Et il se metent apres tot le chenin 	et il sen tornent apres si grant aleure 	y desque los tres hermanos esto oyeron partieronse dende  y entraron ensu camino 	Ed e' si mettono apresso tutto il camino 
que cil lor enseingnierent, 	quilz leur enseignerent. 	ke il lor enseignierent. 	que ceulx leur enseignent/ 	que cil lor ensaignierent . 	que il porrent plus. 	ca bien cuidauan fallar adon lançarote ca entendian que aquel hera 	che quelli lor insegna, 
car il le cuident bien trouver as enseingnes  que il porte. Et Lanceloz a tant chevauchié, 	car ilz le cuident bien trouuer aux enseignes  quil portent.  Et lancelot atant cheuauche 	Car il le quident bien trouer as enseignes des armes. Lors sen partent atant  Mais atant laisse ore li contes a parler deuls.  et retorne a parler de lancelot  a OR dist li contes que quant lancelot 	car bien uraiment en cuident ouir nouuelles.  Et lancelot 	Car il le quident bien trouuer as ensaignes  que il portent. Et lancelot. atant cheutaichie 	Car il cuidoient bien trouer a s ensangnes des armes.  et lanc̃ auoit cheuauchiet le premier Ior 	Porlas señales delas armas queles dixeron  que lleuaua  Mas aqui dexa el Cuento de fablar delos çinco hermanos 	ch’elli il eredono ben trovare alle nsegne  ch’e' porta.  E Lancelotto à tanto cavalcato 
		se fu parstil du castel as. v. Sfreres ou il lor auoit lor guerre 					
quant il s’en fu partiz  et il et Lion, sanz aventure trover 	quant il se fu party luy  et lion sans auanture trouuer 	afinee  quil cheualcha toute ior entre lui et lyonel sans auenture trouuer 	qui sen fut parti entre li y et lyonnel sans aduanture trouuer 	quant: il sen fu partiz entre lui et lyon. sanz auenture trouuer 	quil sen estoit partis tout entierement entre lui et lyonnel. sans auanture trouer 	e delos otros tres  por contar de don lançarote e de lionel 	quand’e' fu partito intrallui  e Lion, sanza aventura trovare 
qui a conter face, 	qui a conter face 	qui a conter fache. 	qui a compter fache 	qui a conter face. 	qui a conter face. 	e delas auenturas queles auinieron  Mas agora dexa el quento de fablar delos çinco hermanos 	ch’a contar faccia, 
qu’il jurent la nuit chies une veve dame 	quilz ieurent la nuyt chez une uefue dame 	Tant qui uindrent la nuit chies vne veue dame 	car la nuyt uindrent cheulx une dame	que il iurent la nuit chies une ueuue dame. 	et furent la nuit chiez une ueue dame mout cortoise et mout uaillant.  qui mout bien les herbreia 	y torna a contar de don Lançarote  y de Lionel su primo cormano Agora dize el quento 	ch’elli venero la notte a casa una vedova dama 
qui bien les herberja. Au matin 	qui bien les herbregea.  Et au matin 	qui moult bien lez herberga.  Et au matin 	qui bien les herbega AU matin 	qui molt bien les heberia. Au matinet	et aisa de tout son pooir.  Car ele estoit mout genti fame. Au matin 	que el dia 	che molto ben li albergò. Al matinetto, 
quant il orent oïe messe, 	quant ilz eurent ouy messe 	quant il orent messe oye. 	quant ilz eurent ouy messe 	quant il orent oy messe. 	quant il orrent messe oie 	que se partio don lançarote del castillo delos çinco hermanos 	quand’egli ebono udita messa, 
si se remistrent en lor chemin  et entrerent a ore de prime en une forest 	si se mistrent en leur chemin  et eurent tant erre a heure de prime  quilz uindrent en une fourest 	si se remisent au chemin. et a heure de prime entrerent en vne forest 	se misdrent en leur chemin/  si entrerent a heure de prime en une forest 	se remistrent en lor chemin.  Et entrerent a heure de prime en une forest 	si ce mirrent en lor chemin:  Si auint endroit oure de prime  quil entrerent en une forest. 	que andubieron el e lionel todo aquel dia  sin auenirles auentura ninguna 	si rimisono in lor camino ed entrarono a ora di prima in una foresta 
qui duroit bien IlI. liues de lonc et une de lé  et l’apeloient cil del païs Terique.	qui duroit bien troys lieues de long et une de lie  et laplloient ceulx du pays tetique. 	qui duroit bien. ij. lieues de lonc  et vne de le.  si lapeloient cil del pais teriquer. 	qui duroit deux lieues de long et une de le/  si lapelloient ceux du pays terque 	qui duroit bien .ii. liues de lonc et une de le.  et lapeloient cil del pays deriqe.	qui duroit largement .ii. Iornees de lonc.  et bien une de le.  et lapeloient cil del pais cerique. 	que de contar sea 	che molto ben durava due leghe di lungo e una di lato,  e la chiamavano  que del paese Trique. 
Et quant il orent chevauchié dusqu’a ore de midi, 	Et quant il eurent cheuauche iucqua heure de midy si leur greua 	Et quant il orent cheualchie iusques a miedi 	Et quant ilz eurent cheuauche iusques a tierce 	Et quant il orent cheuauchie iusques a heure de midi. 	quant il orrent cheuauchie  iuqua eure do midi 	y durmio esa noche en casa de vna dueña 	“eE quand’eli ebono cavalcato insino a ora di mezodi,
si lor greva et anuia,  car li soulauz iert chauz et ardanz  et lor armes furent eschaufees del souleil; 	et ennuya  car le souleil fu chault et ardant. et leurs armes furent eschaufees du souleil. 	si lor greua moult li chaus :  quar lor armeis furent escaufees del soleil qui trop estoit de grant calor. 	si leur greua monlt et ennuya/  car le soleil estoit trop ardant/ 	si lor greua et anuia.  Car li soleus iert chaux et ardanz.  et leur armes furent eschauffees del soleil. 	si lor anuia mout. et greua.  car Li solaus estoit mout ardans et mout chaus.  et les armes estoient eschaufees de lardeur dou soleil. 	quelos aluergo  e otro dia demañana partieron dende 	si lor gravò  e 'nvidiò il cavalcare,  ché l sole era caldo e ardente e lor armi furono scaldate del sudare.  uSi furono 
si furent si las et si travillié 	Si furent si las et si trauaillez 	Si furent si las et si traueillie 	si furent si laz et trauailles/ 	si furent si las et trauaillie 	si furent si las et si traualliet 	y andubieron fasta ora de prima 	si lassi  e si travagliati 
qu’il les couvint a reposer  tant que li chauz fust trespassez.  Lors mist chascuns pié a terre  et osterent les seles a lor chevax et les frains?  et les laissierent pestre de l’erbe par mi le bois,	quil les conuint repouser  iucqua tant que le souleil fust rapaise. Lors mist chascun pie a terre  et osterent les seles et les frains de leurs cheuaux  et les laisserent paistre par les uoyes. 	que il lez conuint reposer  tant que li chaus fust passes. lors mist cascuns pie a terre.  et osterent lez seles a lor cheuaus et lez frains.  si les laisserent paistre de lerbe parmi le bois. 	que a forche les cenuint reposer/  lors mist chascun pie a terre  et osterent lez fraingz a leurs cheuaulx/  si les laisserent paistre lerbe parmy le boys/ 	quil les couint a reposer  tant que li chaux se fust passez.  Lors mist chascon pie a terre.  et osterent les seles a lor cheuaux et les frainz.  Et lor lessierent pestre de lerbe parmi le bois.	quil les couint a dessandre et a reposer  tant  que li chaut fu cheus. Lors dessendirent maintenant de lor cheuaus  si lor laissent paitre de lerbe parmi le bos. 	que entraron envna floresta enque auia dos jornadas  y andubieron fasta mediodia  e fueron muy enojados  porla gran calentura 	che li conviene riposare  tanto che l caldo fosse passato.  Allor mise ciascheduno i piè a terra  e trassono le selle a-llor cavalli e l freno,  e lloro lasciarono pascere de l’erba per me' l bosco. 
puis osterent les heaumes  et abatirent? lor vantailles  por recoillir le vent; si se couchent desor l’erbe souz l’ombre d’un pomier. 	puis osterent leurs heaumes et leurs uentailles  pour recueillir le uent.  si se couchent sur lerbe en lombre de ung pommier. 	puis osterent lor heaumes  et abatirent lor uentailles  pour recoillir. j. poi le uent.  Si se colcherent sor lerbe desouz lombre dun pommier.	puys ostent leurs heaulmes  pour recueillir le uent/  si se couchent dessoubz lombre dung perron 	puis ostent lor hialmes  et abatent leur uentailles.  por recueillir le uent. Si se couchent desoz lombre dun pommier. 	puis ostent lor hiaumes de lor chiez.  et abatent Lor uantaille  por coler le uant.  Si ce coucherent desous lonbre dun pomier. Lanceloz nauoit mie la nuit 	que fazia e desçendieron delos cauallos  Por folgar so vnos arboles y ataron los frenos alos cauallos 	iPoscia trassono loro elmi  e abatterono lor ventaglia per ricogliere il vento,  si si coricaro di sotto l’ombra d’un pome. 
Et Lanceloz n’avoit onques dormi la nuit,  car trop avoit eu grant chaut.  Se li avint  qu’il s’andormi a ce  qu’il trova la froidor de l’erbe i et la douçor del vant.  Et Lions veilla 	et lancelot nauoit onc dormiy la nuyt  car il auoit eu trop grant chault.  et quant il trouua la doulceur du uent  et la frescheur de lerbe il sendormy.  Et lion ueilla 	Et lancelot nauoit onques dormi la nuit  deuant quar trop auoit eu grant chaut  Si li auint feaa el ensi  quil sendormi a ce quil trouua la froidor de: lerbe et la douchoir del vent.  Et lyoniaus ueilla 	car lancelot nauoit onques la nuyt dormy  si luy aduint ainsy quil se endormist.  Et lyennel ueilla 	Et lancelot nauoit onques la nuit dormi.  Car trop auoit fait grant chault.  Si li auint  que il sendormi a ce  quil troua la froideur de lerbe.et la dolceur du uent.  et lyon ueilla 	deuant dormi.  por ce que trop faissoit grant chat.  Si li auint maintenant  quil fu couchiez  quil troua la froidure de lerbe. et la dousour del uant.  Si sendormi maintenant. et lyonniax ses cousins ueilla toteuoies 	y dexaronlos pazer  y tiraron de si los yelmos  Por coger ayre  y echaronse so vn mançano 	E Lancelotto non avea unque la notte dormito,  ché troppo avea fatto gran caldo,  si gli avenne  ch’elli s’indormi  acciò  ch’elli trovò la fredura de l’erba e l dolzore del vento;  e Lyon veghiò,
qui n’avoit pas talant de dormir  et ne demora gueres 	qui nauoit pas talent de dormir.  Et tantost	qui nauoit talent de dormir.  Si ne demora gaires 	qui nauoit pas tallent de dormir/ puys ne demoura gaires 	qui nauoit pas talent de dormir.  Et ne demora gueres 	qu il nauoit talant de dormir. et ne demora gaires 	y lançarote durmiose luego 	che non avea passo talento di dormire;  e non dimora guari 
qu’il vit venir tout le chemin ferré auques loing de lui Il. chevaliers armez 	apres il uit uenir tout le chemin ferre assez loing de luy deux cheualiers armez 	quil vit uenir tout le grant chemin ferre auques loing de lui. ij. cheualiers armes 	qu il uist uenir au chemin ferre asses loing de luy deux cheualiers tous armes 	quil uit uenir tout le chemin ferre auques loing delui. .ii. cheualiers armez. 	quil uit uenir tout le grant chemin ferre auques loing de Iui .ii. cheualiers armez. 	y estando asi vio venir leonel dos caualleros armados 	che vide venire tutto il gran camino battuto, alquanto lungi di lui,  due cavalieri armati 
