micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
qui font autretel servise comme nos faisons de jors. — 	cinque che fanno altrettale servigio  come noi facciamo il giorno. — E perché, disse 	qui font autretel seruise  com uos faisons de ior.	qui font autretel seruice  comme nous faisonz de ior. 	qui y font tel seruice  comme nous faisons chascun iour. 	qui font autel seruice comme nous faisens de iour. 	e otros çinco de noche 
Et  por quoi, fet Lancelos, avez vos poor 	Lancellotto, avete voi paura 	et porcoi fait lanc᷑. auez uos pa our 	Et de coi aues vous paor fait lancelot. Sire font il vnz des freres de chaiens 	Et pour quoy fait elle auez uous paour	Et pour quoy auez uous paour fait lancelot 	que no façemos y al Auedes miedo dixo Lançarote 
qu’il n’en soit portés? — Sire, font il, 	che non ne sia tratto? — Sire, dicono  elli, 	que il nen soit portes.  SIre font il 		quil en soit ouste. Sire font ilz pour ce 	quil ne soit emporte. Sire fent ilz pource	que voslo lleuen de aqui  señor dixeron ellos 
por ce que uns des freres de çaîens  qui molt est preudom et de sainte vie nos dist n’a encor gaires 	per ciò che uno de frati di qua  entro, che molto est produomo e di santa vita, no  disse, non à ancora 	por ce  que uns freres de saiens  qui est mout preudoms et de sainte uie nos dit na encore gaires 	qui moult est de sainte vie Nous dist na encore gaires 	que ung des freres de ceans  qui moult est preudomme et de sainte uie nous dist na encor gueres 	que ung des freres de ceans nous dist na encores gaires 	si que vn fraile de aqui  que mucho es buen ome  e de sancta vida nos a dicho 
que uns chevaliers vendroit ceste part  qui a force l’en osteroit  et fors de cest païs l’en feroit porter.  Et nos, gens de ceste terre, voldrions miels morir	guari, ch’uno cavaliere verebbe in queste parti ch’a forza ne l trarebbe  e 'l manderebbe fuori di questo  paese, a nostri occhi vegendo. E noi di questa terra voremo meglio morire 	que uns cheualiers uandroit ceste part  qui a force len osteroit.  et fors de cest pais len feroit porter et nos gens de ceste terre uodriens miex morir 	que vns cheualiers vendroit chaiens  qui par sa force len osteroit. et le feroit mener hors de cest pais.  Et nos gens de ceste terre voldroient miex morir 	que ung cheualier uiendroit ceste part  qui a force sen osteroit et hors de ce pays len feroit porter deuant nous  Et nous de ceste terre aymerions mieulx mourir 	que ung cheualier uendroit ceste part  qui a force len osteroit  et hors de ce pais le feroit porter et nos gens de ceste terre aymeroient mieulx mourir 	que vn cauallero vernia aesta tierra  que por fuerça lo lleuaria desta tierra  e las gentes desta tierra querrian antes ser muertos 
qu’il fust remués d’entre nos :  por ce  si le gardons issi 	che fosse rimutato di tra  noi, perciò si l guardiàn 	quil fust remuez dantre nous. porce si le gardons ensi 	quil fust remues dentre nous.  Et por chou le gardons nous ensi 	quil fust remue dentre nous  pour ce le gardons nous ainsi 	que il fust remue dentre nous  car le preudomme nous dist	que el fuese lleuado de entre nos e poreso lo guardamos 
com vos veez, 	noi, insi come vo'  vedete, ciascuno giorno 	com uos ueez. 	comme vous vees. 	comme uous ueez 		asi como vedes 
lar li preudom i nos dist 	e ciascuna  notte, ché l produomo no disse 	Car li preudons nos dit 	car li preudom nous dist 	Car le preudomme nous dist 		ca el ome bueno nos dixo 
que li chevaliers ne demoreroit pas  qu’il ne venist — 	che l cavaliere non dimorebbe passo a venire». o! ee- Or mi 	quil ne demorroit mie:  quil ne uenit. 	ke li cheualiers  ne demourroit pas  ke il ne uenist 	que le cheualier ne demourroit pas  quil ne uenist De celle mesmes matiere dessus dicte. 	que le cheualier ne demouroit pas  quil ne uenist. 	que no tardaria mucho el buen cauallero  Que no viniese alo sacar 
Or me dites. fet Lancelos, 	dite, disse 	Or me dites fuit lanc̃ 	Or me dites fait lancelot. 	Or me dictes fait lancelot. 	Or me dictes fait lancelot. 	Agora me deçid dixo lançarote 
ne fu cil molt haus princes 	Lancellotto, non è quelli molto alto principe 	ne fu cil mout riche princes	et ne fu cils cheualiers moult haus homs a	fut il pas moult hault prince 	Ne feust pas cest cheualier hault prince 	quien fue este tan Rico prinçipe 
a cui l’en fist si haute sepulture? — Sire, font cil, haus hom fu il et riches; avec ce 	a cui l’uomo fece si ricca sepoltura? - ire, dicono  elli, alto huomo fu elli e ricco, 	a cui si riche sepouture fu faite. Sire font a haus hons et riches fu il. 	qui on fist ceste sepulture. Sire font il haus homs fu il et riches. 	a qui len fist si riche sepulture. Sire font ilz il fu si riche  et o tout ce	a qui len feist ceste sepulture. Sire font ilz ce fust ung hault homme et riche/ 	que yaze entan rrica sepultura  Señor Dixeron ellos Mucho fue alto ome 
qu’il fu haus hom fu il li plus preudom  qui onques fust a son tens. — 	e con tutto che fu alto huomo de più del  mondo, fu elli el più produomo ch’unque fosse a suo tempo.—Ha!, Iddio, disse 	et li plus prendons qui onques fust a son tans. 	Et auec chou fu il li plus preudoms  qui fust a son tamps. 	quil fu si hault homme. il fu le plus preudomme qui oncquez fust en son temps. 	auec ce fust le plus preudomme  qui onques fust en son temps. 	e el mas noble 
Ha, Diex, fet Lancelos,  qui fu il ?— Sire, font il,  se vos conoissiés letres, veoir le porriés, 	Lancellotto, chi fu elli? — Sire, dicono  elli, se vo' conoscete  lettere, sapere il potete per 	Ha: diex fait il qui fu il. Sire font il  se uos quenoisiez lestre sauoir le poez 	Ha : diex fait lancelos  qui fu il. Sire font il  se vous connissies point de lettres vous poes bien sauoir 	haa dieu fait il qui fut il. Sire font il  se uous cognoissez lectres uous le pourrez tantost sauoir. 	Haa dieux fait lancelot  qui fust il. Sire font ilz sy uous cengnossies lettres bien pouries scauoir 	Que nunca fue visto ay dios dixo lançarote quien fue señor dixeron ellos  si sabedes leer vien podedes saber quien es el 
kar ses nons est escris el chief de cele lame. »  Lors va Lancelos cele part, 	tempo, ché suo nome est scritto nel capo di quella lama». Iiol Allor va Lancellotto in quelle 	Car ses nons est escris el chief de cele lame.  Lors ua lanc̃. cele part 	qui il fu.  Car ses nons est escris el chief de ceste lame.  ors uait lancelot cele part 	car son nom est escript ou bout de celle lame.  Lors uait lancelot celle part	qui il fust/  car son nen est escript au chief de celle lame/  lors ua lancelot celle part 	que aqui yaze  que ala cabezera dela su tumba lo fallaredes escrito  e lançarote se fue ala cabeça dela tunba 
si regarde les letres 	parti, si riguarda le lettere grandi e spatiose, formate di fino 	et regardent les lestres 	et trueue les lettres 	si regarde les lectres 	sy treuue les lettres 	e fallo las letras 
qui dient: « Ci gist Galehout li fiz a la Jaiande, li sires des Lointaignes Isles a, 	oro, che dicieno: “Qui giace  Galeotto, il figliuolo della Bella Gigante, il signore de-lLontane Isole 	qui dient:  ci gist Gał̾ li fiz a la bele iaiende des longainnes illes et li sires de sorelois. 	qui disoient.  Chi gist Galehols li fils a la bele iaiande li sires dez lontaignes illes 	qui dient.  Cy gist galehot le filz a la geande  se sirz des loingtaines ysles 	qui disoient. Icy gist gallehault le filz a la gayande 	que deçian aqui yaze galeote el fijo dela fermosa Jaiana 
qui por l’amor de Lancelot morut. » 	che per l’amore di Lancellotto mori 	qui por lanmor lanc̃. del lac morut. 	qui por lamor de lancelot del lac morut 	qui mourut pour amour de lancelot. 	qui pour lamour de lancelot mourust/ 	que por amor de lançarote murio 
Et quant il vit ce,  si chiet pasmés et gist grant piece a terre 	. E quand'e vede  ciò,  si cadde ispasimato  e giacque gran peza a terra sanza motto dire. E cavalieri il corsono a 	et quant il uoit ce  si chiet pasmez  et gist grant piece a terre sans madire. 	Et quant il voit chou si chiet a terre tous pasmes 	Et quant il uoit ce si chiet pasme  et gist grant piece a terre sans dire mot. 	et il uoit ce si chiet pausme.  et geust grant piece a terre 	e quando lançarote ovo las letras leydo cayo amorteçido en tierra 
						e estubo ansi gran pieça 
sans mot dire;  et li chevalier le corent relever, 	rilevare, 	et li cheualier le corent releuer.	et iut grant piece sans dire mot.  Et li cheualier coerent a lui  por e lui releuer 	Et le cheualier le couru releuer. 	sans mot dire et les cheualiers le courent releuer 	que no pudo fablar  e los caualleros fueron ael porlo leuantar 
si se merveillent molt 	si si maravigliarono molto tutti chi 	si se merueille mout 	qui moult sesmerueillent 	Si se merueillent moult tous 	si se merueillent 	e mucho se marauillauan 
qu’il puet estre.  Et quant il revint de pasmison, 	egli può  essere,  e quand’e' può rivenire di 	que il puet  estre.et quant il reuient de pasmissons 	qui il poet estre. Et quant il est reuenus de pasmisons. 	quil puet estre.  Et quant il reuient de pamesons 	qui il peult estre.  Et quant il est leue de paumoisens	que podia Aquello ser e quando lançarote acordo començo a dar vozes 
si s’escrie: « Ha, las!  Quel dolor et quel damage!» 	spasimagione, si grida: «A!,  lasso, qual dolore 	si sescrie.  halas  quel dolor et quel damage. 	si dist  ha : diex  quel doel et quel damage et quel anui.	si sescrie.  helas quel douleur et quel dommage.	si se escrie et dist/  Helas quelle douleur  quel ennuy et quel dommage/ 	e a dezir ay que duelo e que daño 
Et lors fiert l’un poing en l’autre  et esgratine son viaire 	e quale damaggiob. Allor fiede l’uno pugno a l’altro  e sgraffia suo 	et lors fiert lun pong a lautre et esgratine son uiaire. 	Lors fiert lun poing sor lautre.  et esgratine son visage.	et lors fiert dung ponig en lautre et esgratine son uiaire 	lors se tourne a part 	e luego començo a dar del vn puño enel otro e a rrascar el Rostro 
si qu’il en fet le sanc salir de totes pars,  si se prent as chevels 	viso, sicché ne fa il sangue salire di tutte  parti,  e si prende e dirappa  e be' 	et or fait le sanc de totes pars saillir.  Si se prant as cheuex 	si quil en fait le sanc saillir.  Si se prent par ses cheueus 	si quil en fait saillir le sang de toutes pars.  Si se prent es cheueux 	et pleure	asi que la sangre le salia por todas partes  e a mesar sus fermosos cabellos 
		et se fiert grant corx del pong el fronc 				
et se fiert grans cops del poing en mi le front et en mi le pis et crie si durement  qu’il n’i a celui  qui tote pitiés n’en preigne;  si se laidenge et maldit l’ore 	capelli,  e si fiede gran pugni nel miluogo della faccia  e nel miluogo del  petto, e grida  si duramente che non v’à colui 	et enmi le piz. et crie si durement  qul ni a celui  qui pitie nen prangne.  et maudit leure 	et se fiert del poing grans cops en mi le vis.  et pleure si durement  que il ni a celui  qui nen ait pitie.  Si laidenge et maudist leure 	et se fiert grans coups du poing ou front  et ou pis et cris si fort qͥl ny a celuy  qui nen ait toute pitie.  si se ledenge et maudit leure 	et crie monlt durement  si que cest pitie de le uoir et mauldit leure 	e a darse puñadas grandes enel rrostro e enlos pechos e a dar tales vozes  que todos auian piedad del  e maldeçia el dia 
qu’il fu nes  et dit: «  Ha, Diex ! 	che tutta piatà non  abbia. Si si ladeggia e maladice l’ora che fu nato, e dice: Al, quale damaggio 	quil fu nez  et dit ha diex 		dont il fu ne et dist. 	qui fust onques ne et dit. Haa dieux 	en que fuera nasçido  e deçia ay que duelo 
Quel damage,  quel perte del plus preudome del monde  qui mors est por le plus vil chevalier et por le plus malvés  qui onques fust !  Tant fet Lancelos grant duel  que tuit cil de laiens le vienent regarder a merveille; 	e quale perdita del produomo del mondo ch’è morto  per lo più malvagio cavaliere del mondo  e ch’unque  fosseb. anto fa Lancellotto gran duolo che tutti que di là entro el vengono a risguardare a 	que perte  et quel dammage del plus preudome del  monde.qui mors est por le plus uil cheualier et por li plus mauuais del monde.  Tant fait Lanceloz grant cri et grant plain  que tuit cil de laiens le uon esgarder. 	que il onques fu nes quant si preudoms est mors pour lui  Moult fait lancelot grant doel et grant cri.  et tant que cil de laiens le regardent a meruelles 	haa dieu quel dommage et quelle perte du plus preudomme du monde  qui est mort pour le plus uil cheualier et pour le plus mauuaiz  qui onc̃qz fust  Tant fait lancelot grant deul et grant plour  que tous ceulx  de leans le uiennent regarder a merueille 	quel dommage  et quelle parte du plus preudomme du mende. ceulx de leans le regardent a merueilles/ 	e que daño morir el mejor ome del mundo porel mas mal Cauallero e mas malauenturado  que enel es Mucho fiço lançarote gran llanto  e daua tales vozes  que todo el mundo lo cataua 
si li demandent  qui il est  et il ne puet mot dire, ains crie totes voies  et se debat et descire.  Quant il a son duel demené grant piece,  si regarde les letres 	maraviglia, sillo domandano chi egli  è, ed e' non lor può motto  dire, anzi grida tuttavia  e si dibatte e si ditira e si distorce. E  quand’egli à suo duolo dimenato gran  peza, sicché tutto est  lasso, elli isguarda le lettere 	Si li demandent  qui il est.  et il ne lor uost mo dire  ains crie totesuoies  et se debat et dessire.  et quant il a son duel mene grant piece.  et il regarde les lestres 	Si li demandent  qui il est.  Et il ne lor pot mot dire  ains pleure toutes voies et se debat et deschire.  Et quant il ot grant piece son doel mene.  Si regarde les lettres 	si luy demandent  quil est.  et il ne leur puet mot dire  ains crie tousiours  et se debat.  et quant il a grant piece  demene son deul il regarde les lectres	ains crie  et se debat et deschire.  et apies  qu il a son deul demene grant piece il regarde les lettres	e se marauillaua del e preguntaronle como auia nombre  mas el no podia Responder Ante daua vozes e gritos todavia  e desque el fiço su duelo gran pieça  cato las letras otra vez 
