	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
420|421|422|423	Et lors entre laiens L. vens si grans et si fors |qu’il enporte avant lui tote la joncheure del palés. De ceste aventure se merveille plus mesire Gauvain que de rien |qu’il veist bnques mes ; |si atent encore por veoir 	Et lors entre leans ung uent si grant et si froit |quil emporte deuant soy toute la ioncheure du palays. De ceste auanture se merueille plus messire gauuain que de rien |quil ueist oncquez |mais si actend encores pour uoir 	Et|lors entra laiens vns vens. si grans et si fors 	Et lors entra leans ung uent si grant et si fort |qu il emporta toute la iencheure du pallais. De ceste auanture se merueille moult messire gauuain |si actent encores 	et lors entre laiens uns si grans uans et si fors |quil enporte deuant lui tote la ioncheure. do palais. de ceste auante᷑ se meruilla plus messires .G. |que do chose |quil ueist onques mais. |mais il atant encore |por ueoir	deque estaua el palaçio juntado lleuaua e desta auentura se marauillo mucho don galuan |y estado alli quedo |por ver 	fondere.Allora entrò là entro uno vento si grande e si forte |che ne portava avanti lui tutta la giuncura della camera e del palagio.“Di questa aventura si maravigliò molto monsignor Galvano, |si atende ancora per vedere 
424|425|426|427	que ce sera. Grant piece aprés le debatement des fenestres escote mesire Gauvain, |si ot le greignor dolosement del monde |et le greignor ploreis |et bien li samble	que ce sera. Grante piece apres le debatement des fenestres escoute messire gauuain |si ouy le plus grant deul et pleur du monde |et bien luy semble 	quil emporta toute la ionchie del palais. Grant piece apres le debateis des fenestres oi mesires Gauuain lez plus grans pleurs del monde. |et le plus grant doel |si li sambloit bien 	que se sera. Grant piece apres le bruit des fenestres escouta messire gauuain:|et ouist le greigneur pleur du monde |et sembloit 	que ce sera. et grant piece apres le debatement des fenestres escoute messires .G. |Si oit le plus grant ploreis et le plus grant dolosement del monde. |et bien li sanble 	si veria mas y gran pieça |despues del vatir delas finiestras |estando asi don galuan oyo el mayor duelo del mundo |e paresçiole 	che ciò sarà. vGran peza apresso la nosa delle finestre ascolta monsignor Galvano, |si udi el maggior pianto del mondo, |e bene gli sembia 
428	que ce soit de femes. 	que ce soit de femmes 	que ce fuissent femmes. 	que se feussent femmes 	que ce soit de fames.	que hera De mugeres 	che ciò sieno femine. 
429|430|431|432|433	Et quant il se velt drecier|por aler veoir |que ce estoit, |si voit d’une chambre issir iusqu'a XII. damoiseles |qui font le greignor duel del monde; 	et quant il se uoult drecer |pour aler ueoir |que cest |si uoit yssir dune chambre .xii. damoeseles |qui sont le plus grant deul du monde. 	Et quant il se veults drechie en estant |por ueoir |que ce estoit. |Si uit issir dune cambre iusques a. Xij; damoiseles |qui font le plus grans doel sdoul monde. 	Quant il se uoulut leuer |pour aller ueoir |que cestoit si uist issir de une chambre iusques a douze damoiselles faisant le greigneur deul du mende 	et quant il se wet drecier |por aler ueoir |que cestoit. |si uit dune chanbre issir .xii. damoiseles |qui font le plus grant duel del monde. 	e quando se quiso leuantar |por ver |lo que hera vido salir de vna camara |mas que doze donzellas que fazian el mayor duelo del mundo 	E quand’e si volle dirizare per andare a vedere |che ciò era, |si vide d’una camera uscire infino a dodici damigelle |che fanno el maggior duolo del mondo; 
434|435|436	si vient l’une aprés l’autre |et dient tot en plorant: « |Bials Sire Diex, 	Si uiennent lune apres lautre et dient peut en plourant. Beau sire dieu 	si aloient lune apres lautre. |Et dient tout en plorant Biaus sires diex. 	et uent lune apres lautre |et dient tont en plourant. Beau sire dieu 	si uiennent lune apres lautre. |et dient tout en plorant biax Sire diex 	y venian la vna tras la otra |y dezian todas llorando buen señor Dios 	si venia l’una apresso l’altra|e dicieno tutte impiagnendo: |Hal, bel sire lddio. 
437	quant istrons nos de cest travail ? » 	quant ystrons nous de ce trauail 	et quant isteronz nous de cest trauail.	quant istrens nous de ce trauail 	quant istrons nos de cest 	quando saldremos deste trauajo 	quando usciremo noi di questo travaglio?». 
438|439	Et quant eles sont venues a l’uis de la chambre |ou li colons estoit entrés le soir devant, 	et quant elles sont uenues a luys de la chambre |ou le coulon estoit entre deuant il sagenoillent 	Et quant elles sont uenues iusques a luis de la cambre ou li colons: estoit entres le soir deuant. 	Et quant elles sent uenues iusques a luis de la chambre |ou le coulomp estoit entre le soir deuant 	trauail.et quant eles sont uenues a luis de la chambre |ou li colons auoit entre le ior deuant. 	y fueronse parala camara donde hauia entrado el palomo |y fincaron los ynojos antela puerta 	eE quand’elle sono venute all’uscio della camera |ove el colombo era entrato la sera davanti, 
440|441	si s'agenoillent |et font lor proieres et lor oroisons et totes voies plorent molt durement. 	et font leurs prieres et leurs oraisons et toutesuoyes en plourant moult fort. 	Si sagenoillent illueques |et font proieres et orisons. |Et totes voies plorerent moult durement 	si se agenoullent |et font prieres et oraisons |et plourent tendrement 	si sagenoillent |et font lor prieres et lor oroisons :|et toutesuoies pleurent mout durement. 	e començaron a fazer oraçiones llorando muy fuertemente 	si s’aginocchiano |e fanno loro preghiere e loro orationi, |e tuttavia piagnieno duramente. 
442|443|444|445|446|447|448	Et quant eles i ont esté grant piece,|si s’en revont la |dont eles estoient venues. |Quant les damoiseles s’en sont alees, |si voit mesire Gauvain issir d’une chambre I. grant chevalier armé de totes armes, l’escu al col, l’espee en la main,|si dist a mon seignor Gauvain: « Levez de ci, sire chevaliers,|et alés en une de ces chambres dormir, 	Et quant elles y ont este si grant piece |si uoit messire gauuain yssu dune chambre ung grant cheualier arme de toutes armes lescu au col lespee en la main |et dist a messire gauuain leue de cy sire cheualier allez uos dormir en une de ces chambres 	Et quant elles y orent grant piece este. |si retornerent arriere la |dont elles estoient uenues. |Et quant elles sen furent alees. |Si vit mesires Gauuain issir de la cambre. j. cheualier arme de toutes armes |si dist a monseignour Gauuain. Sire cheualiers leues sus |si alez dormir en vn autre cambre de chaiens. 	Et quant elles y ont este grant piece|si sen reuont la dent elles estoient uenues |Apres ces choses auenues uit menseigneur gauuain ung cheualier issir dune chambre tout arme lescu au coul lespee en la main: |si dit a messire gauuain. Leuez sus|et alez dormir en lune des chambres de ceans/ 	Et quant eles i ont este grant pice |si sen reuont la |dont eles uenoient |Et quant eles en sont alees |si uoit messires G. issir dune chambre .i. grant cheualier arme de toutes armes lescu au col lespee en la main. et dit a monsigno .G. leues deci sire cheualiers alez en une de ses chanbres dormie 	e desque estubieron asi gran pieça tornaronse ala camara |donde hauian salido Como El Cauallero dixo a don galuan |que se tirase del lecho |como se conbatieron |Quando las donzellas entraron enla camara |luego vido don galuan salir devna camara a vn cauallero todo armado el escudo al cuello |y el espada enla mano |que le dixo |señor cauallero leuantadvos de ay |e yd a dormir a vna desas camaras 	PtE quand’elle v’ebbono state gran peza, |si se ne vanno là |donde elle erano venute. ll esQuando le damigelle se ne furono andate, |si vide monsignor Galvano un gran cavaliere, armato di tutte armi, uscire d’una camera, lo scudo a ccollo, la spada in pugno, |si disse a monsignor Galvano: eleLevate suso, danzi cavaliere, |e andate in una di queste camere, 
449	kar ci ne porriés vos remanoir longuement. » 	car cy ne pourriez pas longuement demourer. 	quar chi ne poes vous remanoir longement. 	car cy ne pouez uous plus demourer. 	car ci ne poez uous plus. Longuement remanoir. 	que ay no podedes estar mucho de aqui 	ché qui non potete vo' mica rimanere lungamente», 
450|451	Et il dist |qu’il i remaindra 	Et il dit |quil mourra 	Et il dist |quil y demorra. 	Et il dit |quil demourra 	et il dit |quil i demorra 	no me mouere dixo don galuan 	ed e' dice |che vi rimarrà, 
452	ou il morra. « 	ou il y demourra.	ou il morra en la paine 	ou il mourra.	ou il morra. 	o aqui morire 	o e voglia o no. 
453	Non ferois, bials sire, 	Non ferez beau sire fait il 	Biau sire fait li cheualiers non ferois 	Non ferez beau sire 	Non ferois sire fait li cheualiers 	no fazedes vien señor dixo el |cauallero 	teNon farete bel sire, disse quelli, 
454|455	kar ançois me combatroie je a vos |que vos i remansissiés. — De combatre, fet mesire Gauvain, me sofferoie je bien 	car auant me combatroye ie a uous |que uous y demourassez. |De combatre me passeroye ie bien. 	quar aincois que vous y remansissies me combateroie iou a vous. |Le combatre fait mesires Gauuain me sofferroie iou bien 	aincois me combatroie ie a uous que uous y demourissiez. 	car ansois me conbatroie ie a uous. |qui uos i remainsisiez. |De conbatre fait messires G. me soufferoie ie bien. 	sabed que me conuatire conuos |antes que dexarvos ay estar deme conuatir dixo don galuan |yo me sufriria agora 	ché inanzi mi combatterò io a voi |che vo' ci rimaneste. |— sDel combattere, disse monsignor Galvano, io no mi combatterei già volentieri, 
456	et neporquant ains le feroie je 	Mais pourtant auant le feroye ie 	Et nepourquant ainchois 	Aincois me combatroie ie a uous 	et non por quant ains le feroie ie 	sy vos pluguiese 	e nonperquanto inanzi mi combatterò io 
457|458|459|460	que aler m'en. — |Par foi, fet li chevaliers, |puis que vos ne le volés fere par debonaireté, vos le ferois par force: |si vos gardez huimés de moi, 	que men aller |Certes puis que uous ne le uoulez faire par debonairete uous le ferez par force. |si uous gardez |mais huy de moy 	que iou men alaisse me combateroie iou. Par foy fait cil |puis que vous ne le voles faire par debonairete. vous le ferois par force 	que ie men allasse dit messire gauuain |Par ma foy dit le cheualier |puis que uous ne le uoullez faire par debonnairete uous le ferez par force/ |si uous gardez de moy 	que aler men couenist. |Par foi fait cil |puis que uos nel uolez faire par debonairete uos le ferois par force |Si uos gardes huis mais de moi 	mas por rreçelo deme conuatir |yo no me leuantare de aqui |por buena fee dixo el cauallero pues no queredes fazerlo de grado vos lo faredes por fuerça |e guardaduos demi 	che andarmene. |— cePer fé, disse el cavaliere, |poscia|che vo nol volete fare dibuonarimente, |voi el farete per forza: |si voi guardate oggimai di me, 
461	kar je vos deffi. » 	car ie uo us deffy 	quar ie vous desfi." 	car ie uous deffy. 	car ie uos desfi. or uos gardes de moi. 	que vos desafio entonçe echo el escudo sobre la cabeza 	ch’i' vo disfidos. 
462	Lors li cort sus l’espee traite, l’escu geté sor la teste; 	Lors luy court sus lespee traicte lescu sur la teste. 	LOrs li cort sus lespee traite. |et met son escu sour sa teste. 	Lors lui court sus lespee traicte. 	LOrs li cort sus lespee traite lescu iete desus la teste. 	e fuese contra galuan la espada enla mano 	Allor gli corre suso, la spada tratta, lo scudo gittato sopra sua testa, 
463|464	et mesire Gauvain se drece|et se deffent al miels 	Et messire gauuain se deffend au mieulx 	et mesires Gauuain se drece. |et se desfent au miex 	et menseigneur gauuain se dresse |et se deffent au mieulx	et messires .G. se dresce |et se desfant au miex 	e don galuan se aperçibio lo mejor que pudo 	e monsignor Galvano si dirizza |e difende al meglio 
465	qu’il puet, 	qu il puet 	quil puet. 	qu il peut/ 	quil puet. 	por se defender 	ch’egli puote; 
466	mais cil le haste molt durement; 	mais il le haste molt fort. 	Et cil se haste trop durement. 	mais celui le haste trop durement. 	mais ciz le haste mout duremet.	mas ellos se ferian muy fuertemente 	oema quello lo studia troppo duramente, 
467|468	si se depiecent les hialmes et les escus |et se derompent les haubers sor les bras et sor les espaules et sor les hanches, sie se traient le sanc des cors. 	si se depiecent les heaumes et les escuz |et se derompent les haubers sur les braz et sur les espaules |si si trayent le sang du corps. 	si sentredepiecent lor escus et lor heaumes.|et se desrompent lor haubers sor lor costes et sor lor hanches.|et se traient le sanc de lor cors. 	Si se depiecent les escus les haubers et les heaumes |et font saillir le sang de leurs corps: 	Si ce depiecent les hiaumes et les escus et les haubers. et se traient le sanc del cors. 	y se despedaçauan los escudos e los yelmos e las lorigas enlas espaldas y enlos costados e sobre los brazos 	si si dispezano gli elmi e gli scudi |e si dirompono gli asberghi sopra le braccia e sopra le spalle |e sopra l’anche, 
							e si tragono el sangue del corpo. 
						asi que mucha sangre hauian perdido delos cuerpos 	
469	Mais molt est enpiriés mesire Gauvain de la plaie de l’espaule, 	mais moult est empire messire gauuain de la playe de lespaule 	mais moult forment est empiries: mesire Gauuain de la plaie |quil auoit en lespaulle. 	mais messire gauuain est moult empire de la plaie|qu il auoit en lespaulle 	Mais mout est enpiriez messires G. de sa plaie 	mas mucho hera enpeorado don galuan dela llaga dela espalda 	Ma molto est peggiorato monsignor Galvano della piaga della spalla, 
470|471	kar ele ne puet estanchier|et ce le met auques al desos; 	et elle ne puet estancher |et ce le mect aucques au dessobz 	Car elle ne pooit estanchier. |et cele plaie le mist auques au dessous 	car elle ne peut estanchier Il seuffre	car ele ne puet estanchier. |et si le met auques au desous. 	ca no podia mucho ferir dela espada 	ch’ella non può stancare, |e ciò l mise alquanto al disotto, 
							e nonperquanto troppo può sofferire pena e travaglia al gran bisogno, 
472|473|474|475|476	si sueffre |et endure tant|com il puet |et se cuevre de son escu |comme cil à l’espee trenchant, 	si seuffre |et se cueuure de son escu |comme cil |qui bien le sceit faire |Et le cheualier le haste tousiours a lespee 	si sueffre |et endure tant comme il puet. |Et se cueure de son escu. |comme cil |qui bien le sauoit faire. 	et endure tant comme il peut |et se cueuure de son escu|Et le cheualier le haste a lespee trenchant 	Si sueffre |et endure |tant comme il puet. |et se cueure de son escu |comme cil |qui bien le sot faire. et li cheualiers le haste toteuoies a lespee tranchant 	sino quele conuino a endurar e a sufrir |quanto pudo encubriendose desu escudo |como aquel que bien lo sabia fazer 	come colui |che molto era di gran cuore; esi soffera |e indura tanto |quanto puote |e si cuopre di su scudo come colui |che bene lo sa fare. |E l cavaliere, che grande e forte era, lo studia alla spada trincante, 
