	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
662|663|664	qui molt est preudom et de sainte vie |nos dist n’a encor gaires |que uns chevaliers vendroit ceste part 	qui est mout preudoms et de sainte uie nos dit na encore gaires |que uns cheualiers uandroit ceste part 	qui moult est preudomme |et de sainte uie nous dist na encor gueres |que ung cheualier uiendroit ceste part 	que ung des freres de ceans nous dist na encores gaires |que ung cheualier uendroit ceste part 	qui moult est de sainte vie |Nous dist na encore gaires |que vns cheualiers vendroit chaiens 	que mucho es buen ome |e de sancta vida nos a dicho |que vn cauallero vernia aesta tierra 	che molto est produomo e di santa vita, |no disse, |non à ancora guari, |ch’uno cavaliere verebbe in queste parti 
665|666	qui a force l’en osteroit |et fors de cest païs l’en feroit porter. 	qui a force len osteroit. |et fors de cest pais len feroit porter 	qui a force sen osteroit |et hors de ce pays len feroit porter deuant nous 	qui a force len osteroit |et hors de ce pais le feroit porter 	qui par sa force len osteroit. |et le feroit mener hors de cest pais. 	que por fuerça lo lleuaria desta tierra 	ch’a forza ne l trarebbe |e 'l |manderebbe fuori di questo paese, 
667|668	Et nos, gens de ceste terre, |voldrions miels morir 	et nos gens de ceste terre uodriens |miex morir 	Et nous de ceste terre aymerions mieulx mourir 	et nos gens de ceste terre aymeroient mieulx mourir 	Et nos gens de ceste terre voldroient miex morir 	e las gentes desta tierra querrian antes ser muertos 	a nostri occhi vegendo. E noi di questa terra voremo meglio morire 
669	qu’il fust remués d’entre nos : 	quil fust remuez dantre nous. 	quil fust remue dentre nous 	que il fust remue dentre nous 	quil fust remues dentre nous. 	que el fuese lleuado de entre nos 	che fosse rimutato di tra noi, 
670	por ce si le gardons 	porce si le gardons 	pour ce le gardons nous 		Et por chou le gardons nous 	e poreso lo guardamos 	perciò si l guardiàn noi, 
671|672	issi com vos veez, |lar li preudom i nos dist 	ensi com uos ueez. |Car li preudons nos dit 	ainsi comme uous ueez |Car le preudomme nous dist 	car le preudomme nous dist 	ensi comme vous vees. |car li preudom nous dist 	asi como vedes |ca el ome bueno nos dixo 	insi come vo' vedete, |ciascuno giorno e ciascuna notte, 
673	que li chevaliers ne demoreroit pas 	quil ne demorroit mie: 	que le cheualier ne demourroit pas 	que le cheualier ne demouroit pas 	ke li cheualiers ne demourroit pas 	que no tardaria mucho el buen cauallero 	ché l produomo no disse |che l cavaliere non 
674	qu’il ne venist — 	quil ne uenit. 	quil ne uenist 	quil ne uenist. 	ke il ne uenist 	Que no viniese alo sacar 	dimorebbe passo a venire». |o! ee- 
			De celle mesmes matiere dessus dicte. 				
675|676|677	Or me dites. |fet Lancelos, |ne fu cil molt haus princes 	Or me dites fuit |lanc̃ ne fu cil mout riche princes 	Or me dictes fait lancelot. |fut il pas moult hault prince 	Or me dictes fait lancelot. |Ne feust pas cest cheualier hault prince 	Or me dites fait lancelot. |et ne fu cils cheualiers moult haus homs 	Agora me deçid dixo lançarote |quien fue este tan Rico prinçipe 	Or mi dite, |disse Lancellotto, |non è quelli molto alto principe 
678|679	a cui l’en fist si haute sepulture? |— 	a cui si riche sepouture fu faite. 	a qui len fist si riche sepulture. 	a qui len feist ceste sepulture. 	a qui on fist ceste sepulture. 	que yaze entan rrica sepultura 	a cui l’uomo fece si ricca sepoltura? - 
680|681|682|683|684	Sire, |font cil, |haus hom fu il et riches; |avec ce qu’il fu haus hom |fu il li plus preudom 	Sire font a haus hons et riches fu il. |et li plus prendons 	Sire font ilz il fu si riche |et o tout ce quil fu si hault homme. |il fu le plus preudomme 	Sire font ilz ce fust ung hault homme et riche/ |auec ce fust le plus preudomme 	Sire font il haus homs |fu il et riches. |Et auec chou fu il li plus preudoms 	Señor Dixeron ellos |Mucho fue alto ome |e el mas noble 	ire, dicono elli, |alto huomo fu elli e ricco, |e con tutto che fu alto huomo de più del mondo, |fu elli el più produomo 
685|686|687|688|689|690|691|692|693|694	qui onques fust a son tens. |— Ha, |Diex, |fet Lancelos, |qui fu il |?— |Sire, |font il, |se vos conoissiés letres, |veoir le porriés, 	qui onques fust a son tans. |Ha: |diex fait il |qui fu il. |Sire font il se uos quenoisiez lestre sauoir le poez 	qui oncquez fust en son temps. |haa dieu fait il |qui fut il. |Sire font il se uous cognoissez lectres uous le pourrez tantost sauoir. 	qui onques fust en son temps. |Haa dieux fait lancelot |qui fust il. |Sire font ilz sy uous cengnossies lettres bien pouries scauoir |qui il fust/ 	qui fust a son tamps. |Ha : |diex fait lancelos |qui fu il. |Sire font il |se vous connissies point de lettres |vous poes bien sauoir 	Que nunca fue visto |ay dios dixo lançarote |quien fue señor dixeron ellos |si sabedes leer |vien podedes saber |quien es el que aqui yaze 	ch’unque fosse a suo tempo. |—Ha!, |Iddio, |disse Lancellotto, |chi fu elli? — |Sire, dicono elli, |se vo' conoscete lettere, |sapere il potete per tempo, 
695|696	kar ses nons est escris el chief de cele lame. » |Lors va Lancelos cele part, 	Car ses nons est escris el chief de cele lame. |Lors ua lanc̃. cele part 	car son nom est escript ou bout de celle lame. |Lors uait lancelot celle part 	car son nen est escript au chief de celle lame/ |lors ua lancelot celle part 	qui il fu. |Car ses nons est escris el chief de ceste lame. |ors uait lancelot cele part 	que ala cabezera dela su tumba lo fallaredes escrito 	ché suo nome est scritto nel capo di quella lama». |Iiol Allor va Lancellotto in quelle parti, 
697|698	si regarde les letres |qui dient: « 	et regardent les lestres |qui dient: 	si regarde les lectres |qui dient. 	sy treuue les lettres |qui disoient. 	et trueue les lettres |qui disoient. 	e lançarote se fue ala cabeça dela tunba 	si riguarda le lettere grandi e spatiose, |formate di fino oro, |che dicieno: 
699|700	Ci gist Galehout li fiz a la Jaiande, |li sires des Lointaignes Isles a, 	ci gist Gał̾ li fiz a la bele iaiende des longainnes illes |et li sires de sorelois. 	Cy gist galehot le filz a la geande |se sirz des loingtaines ysles	Icy gist gallehault le filz a la gayande 	Chi gist Galehols li fils a la bele iaiande li sires dez lontaignes illes 	e fallo las letras que deçian aqui yaze galeote el fijo dela fermosa Jaiana 	“Qui giace Galeotto, |il figliuolo della Bella Gigante, |il signore de-lLontane Isole 
701	qui por l’amor de Lancelot morut. » 	qui por lanmor lanc̃. del lac morut. 	qui mourut pour amour de lancelot. 	qui pour lamour de lancelot mourust/ 	qui por lamor de lancelot del lac morut 	que por amor de lançarote murio 	che per l’amore di Lancellotto mori . 
702|703	Et quant il vit ce, |si chiet pasmés 	et quant il uoit ce |si chiet pasmez 	Et quant il uoit ce |si chiet pasme 	et il uoit ce |si chiet pausme. 	Et quant il voit chou |si chiet a terre tous pasmes 	e quando lançarote ovo las letras leydo cayo amorteçido en tierra 	E quand'e vede ciò, |si cadde ispasimato 
704	et gist grant piece a terre sans mot dire; 	et gist grant piece a terre sans madire. 	et gist grant piece a terre sans dire mot. 	et geust grant piece a terre sans mot dire 	et iut grant piece sans dire mot. 	e estubo ansi gran pieça |que no pudo fablar 	e giacque gran peza a terra sanza motto dire. 
705	et li chevalier le corent relever, 	et li cheualier le corent releuer. 	Et le cheualier le couru releuer. 	et les cheualiers le courent releuer	Et li cheualier coerent a lui |por e lui releuer 	e los caualleros fueron ael porlo leuantar 	E cavalieri il corsono a rilevare, 
706	si se merveillent molt 	si se merueille mout 	Si se merueillent moult tous 	si se merueillent 	qui moult sesmerueillent 	e mucho se marauillauan 	si si maravigliarono molto tutti 
707	qu’il puet estre. 	que il puet 	quil puet estre. 	qui il peult estre. 	qui il poet estre. 	que podia Aquello ser 	chi egli può essere, 
708|709|710|711|712	Et quant il revint de pasmison, |si s’escrie: « |Ha, las! |Quel dolor et quel damage!» |Et lors fiert l’un poing en l’autre 	estre.et quant il reuient de pasmissons si sescrie. |halas quel dolor et quel damage. |et lors fiert lun pong a lautre 	Et quant il reuient de pamesons si sescrie. |helas quel douleur et quel dommage. |et lors fiert dung ponig en lautre 	Et quant il est leue de paumoisens |si se escrie |et dist/ Helas 	Et quant il est reuenus de pasmisons. |si dist ha : |diex quel doel et quel damage et quel anui. Lors fiert lun poing sor lautre. 	e quando lançarote acordo començo a dar vozes |e a dezir ay que duelo |e que daño |e luego començo a dar del vn puño enel otro 	e quand’e' può rivenire di spasimagione, si grida: |«A!, lasso, |qual dolore e quale damaggiob. |Allor fiede l’uno pugno a l’altro 
713|714	et esgratine son viaire |si qu’il en fet le sanc salir de totes pars, 	et esgratine son uiaire. |et or fait le sanc de totes pars saillir. 	et esgratine son uiaire |si quil en fait saillir le sang de toutes pars. 	quelle douleur 	et esgratine son visage. |si quil en fait le sanc saillir. 	e a rrascar el Rostro |asi que la sangre le salia por todas partes 	e sgraffia suo viso, |sicché ne fa il sangue salire di tutte parti, 
715|716|717|718|719	si se prent as chevels |et se fiert grans cops del poing en mi le front et en mi le pis |et crie si durement |qu’il n’i a celui |qui tote pitiés n’en preigne; 	Si se prant as cheuex |et se fiert grant corx del pong el fronc et enmi le piz. |et crie si durement |qul ni a celui |qui pitie nen prangne. 	Si se prent es cheueux |et se fiert grans coups du poing ou front et ou pis et cris si fort qͥl ny a celuy |qui nen ait toute pitie. 	quel ennuy et quel dommage/ lors se tourne a part et pleure |et crie monlt durement |si que cest pitie de le uoir 	Si se prent par ses cheueus |et se fiert del poing grans cops en mi le vis. |et pleure si durement |que il ni a celui |qui nen ait pitie. 	e a mesar sus fermosos cabellos |e a darse puñadas grandes enel rrostro e enlos pechos |e a dar tales vozes |que todos auian piedad del 	e si prende e dirappa e be' capelli, |e si fiede gran pugni nel miluogo della faccia e nel miluogo del petto, |e grida si duramente che non v’à colui |che tutta piatà non abbia. 
720|721|722|723|724|725|726	si se laidenge et maldit l’ore |qu’il fu nes |et dit: « |Ha, |Diex ! |Quel damage, |quel perte del plus preudome del monde 	et maudit leure quil fu nez |et dit ha diex |que perte et quel dammage del plus preudome del |monde.qui mors est 	si se ledenge et maudit leure |dont il fu ne |et dist. haa dieu |quel dommage et quelle perte du plus preudomme du monde 	et mauldit leure |qui fust onques ne et dit. |Haa dieux |quel dommage et quelle parte du plus preudomme du mende. 	Si laidenge et maudist leure |que il onques fu nes |quant si preudoms est mors 	e maldeçia el dia |en que fuera nasçido |e deçia ay que duelo |e que daño morir el mejor ome del mundo 	Si si ladeggia e |maladice l’ora che fu nato, |e dice: |Al, quale damaggio e quale perdita del produomo del mondo 
727|728|729|730|731|732	qui mors est por le plus vil chevalier et por le plus malvés |qui onques fust ! |Tant fet Lancelos grant duel |que tuit cil de laiens le vienent regarder a merveille; |si li demandent |qui il est 	por le plus uil cheualier et por li plus mauuais del monde. |Tant fait Lanceloz grant cri et grant plain |que tuit cil de laiens le uon esgarder. |Si li demandent |qui il est. 	qui est mort |pour le plus uil cheualier et pour le plus mauuaiz |qui onc̃qz fust Tant fait lancelot grant deul et grant plour |que tous ceulx de leans le uiennent regarder a merueille |si luy demandent quil est. 	ceulx de leans le regardent a merueilles/ 	pour lui Moult fait lancelot grant doel et grant cri. |et tant que cil de laiens le regardent a meruelles |Si li demandent |qui il est. 	porel mas mal Cauallero |e mas malauenturado |que enel es Mucho fiço lançarote gran llanto |e daua tales vozes |que todo el mundo lo cataua |e se marauillaua del |e preguntaronle como auia nombre 	ch’è morto per lo più malvagio cavaliere del mondo |e ch’unque fosseb. |anto fa Lancellotto gran duolo che tutti |que di là entro el vengono a risguardare a maraviglia, |sillo domandano chi egli è, 
733	et il ne puet mot dire,	et il ne lor uost mo dire 	et il ne leur puet mot dire 		Et il ne lor pot mot dire 	mas el no podia Responder 	ed e' non lor può motto dire, 
734|735	ains crie totes voies |et se debat et descire. 	ains crie totesuoies |et se debat et dessire. 	ains crie tousiours |et se debat. 	ains crie |et se debat et deschire. 	ains pleure toutes voies et se debat et deschire. 	Ante daua vozes e gritos todavia 	anzi grida tuttavia e si dibatte e si ditira e si distorce. 
736	Quant il a son duel demené grant piece, 	et quant il a son duel mene grant piece. 	et quant il a grant piece demene son deul 	et apies qu il a son deul demene grant piece 	Et quant il ot grant piece son doel mene. 	e desque el fiço su duelo gran pieça 	E quand’egli à suo duolo dimenato gran peza, |sicché tutto est lasso, 
737	si regarde les letres 	et il regarde les lestres 	il regarde les lectres 	il regarde les lettres 	Si regarde les lettres 	cato las letras otra vez 	elli isguarda le lettere 
738|739|740	qui dient |que por lui est mors Galehout; |si dist 	qui dient |que por lui est mors Galehoz |si dit 	qui dient |que pour luy est mort galehot. |si dist 	qui dient |que pour luy mourust galle. |Si dist 	qui dient |que pour lui morut Galeholt. |Lors dist 	e quando vio que deçia |Que Porel hera Muerto dixo 	che dicieno che per lui era morto Galeotto. |e potesse huomo vedere isbigotito e sperduto |si s’à fedito di molti gran colpi nella faccia, |ma nella fine dice elli 
741|742	que or seroit il trop malvés, |s’il ausi ne moroit por 	que or seroit il trop mauuais |se il ausi ne moroit por lui. 	que ores seroit il trop mauuaiz sil ne mouroit aussi pour luy 	que ores seroit bien mauuais |sil ne mouroit pour luy. 	que trop seroit maluais sil ne moroit Ie aussi pour lui. 	que asaz seria mal auenturado |si porel no muriese 	che or si tiene elli troppo malvagio, |’elli altresi non muore per lui. 
743|744	lui:si saut maintenant jus des prones |et pensa 	Si saut mainteuaut hors des prones et panse 	Si sault maintenant |et dit 	Si sault hors du prosne |et dist 	Si saut maintenant hors dez prones |et pense 	e luego se partio dende 	Si salta immantanente fuori del chiuso |e disse 
