micha-iv-75-5	fr333-iv-75-5	fr111-iv-75-5	sommer-iv-75-5	inc-iv-75-5	fr751-iv-75-5	lanzarote-iv-75-5	lancellotto-iv-75-5
et quant la nuit fu venue, si firent. I, lit a Lancelot si bel et si riche com a tel home avenoit;  si le couchierent 	quant la nuit fu uenue  si firent .i. lit. a lanc̃. si bel et si riche comme a tel home couenoit. 	si firent ung lit a lancelot si bel et si riche comme a tel homme aduenoit  si le coucherent 	Et quant la nuis fu uenue.  si firent faire vn lit si bel et si riche comme a tel homme conuenoit.  si se coucha lancelos dedens. 	et quant la nuyt fut uenue firent ung lit a Lancelot, si bel et si riche  comme a tel homme conuenoit/  puis sen alla reposer/ 	si mengerent. a grant Ioie  et quant la nuis fu uenue il firrent lanc̃. i. lit mout riche si comme a tel home couenoit. 	y quando fue noche fizieronle muy Rica Cama a don lançarote y el dormio y folgo toda aquella noche 	e quando la notte fu venuta,  sì feciono un letto a Lancelotto si bello e ssi ricco come a tale huomo comvenia. “  Si l coricarono  e elli
et il s’endormi maintenant et ne s’esveilla dusques au matin  qu’il fu jorz. 	Si le coucherent et il sendormi maintenant  et ne sesueilla deuant au matin  que il fu iors. 	et il sendormy maintenant et ne sesueilla iucqau matin  quil fu iour. 	Et il se dormi moult bien iusques au matin 	et dormit iusques au iour cler. Au matin  quant il fut abillie 	Et il sendormi maintenant iuc au matin. A landemain  si tost com li Iors aiorna se leua lanc̃. 	y ala mañana se leuanto 	si dormi immantanente  e non si svegliò insin qua al mattino  ch’elli fu giorno; 
Et se vesti Lanceloz et apareilla  et oï messe en une chapele de laienz. 	puis se uesti lanc̃.  et apareilla.  et oi messe en une chappele de laiens. 	Lors se uesty et appareilla lancelot  et ouy messe en une chapelle de leans. 	Et puis se uesti et oi messe en vne capiele de laiens. 	sen alla ouyr messe en une chappelle de leans/	et se chausa  et aparilla  et oi messe a une chapelle de laiens.	y fue a oyr misa 	allor si vesti Lancelotto  e apparecchiò,  e udi messa a una cappella di là entro; 
Et quant il revint el palais,  si troeve les tables mises, 	Et quant il uint el palais.  si trouua les tables mises. 	Et quant il uint [...]  si trouua les tables mises. 	Et quant il reuint el palais  si trouua lez tables mises 	et quant il reuint au palays Il trouua les tables mises/ 	Et quant il uint el palais  si troua les tables misses. 	y desque vino fallo las mesas puestas 	e quand’e' venne nel palagio,  si truova le tavole messe, 
car il voloient qu’il manjast ainz 	Car il uoloient  que il mengast  ainz 	car ilz uouloient  qu il mangeast 	quar il voloient  quil mangast ains	car ilz uouloient  que il repeust aincoiz 	Or len uoloit  qu il meniast. I pou ansois 	e comieron e folgaron a todo su plazer 	ch’elli voleano  ch’elli mangiasse anzi 
qu’il s’am partist;  et il s’asieent erranment.  Et quant il orent mangié tout par loisir, 	quil sem partist. Et il sassist errant.  et quant il orent mengie tout par loisir	ains quil se partist.  et il sassient erraument  et quant ilz eureut mange tout a loisir 	quil sen partist.  Et quant il orent mangie tout par loisir. 	quil partist/  Si se asseirent a table/  Puis quant ilz eurent mengie tout par loisir/ 	quill se partist de laiens.  Lors sasient au mengier  et mengerent tout par loisir. 	e desque ouieron comido don lançarote demando sus armas  y armose y caualgo ensu cauallo  y la dueña le dixo attended señor que convos quiero yr vn poco de grado dixo el 	che si partisse, e'ss’asederono.  “E quando elli ebono mangiato e tutto per lecere, 
si se dreça Lanceloz 	si se dreca lanc̃. 	si se dreca lancelot 	si demanda lancelot sez armes 	si se dressa lancelot 	Et quant il orrent mengie lanc̃ ce leua 	Como don lançarote llego ala floresta perdida 	si i diriza Lancelotto 
et demanda ses armes, « 	et demanda ses armes. 	et demanda ses armes. 	quar il dist  quil sen iroit. 	et demanda ses armes. 	et demanda Ses armes 	y leio las letras 	e domanda sue arme. 
Ha, sire,  por Deu,  se il puet estre, remanez encor cest jor seulement. »  Et il dist 	Ha: sire pour dieu sil puet estre. demorez encore cest iour seulement.  Et il dit 	haa sire pour dieu dist il demourez encore seulement ce iour.  Et il dit 	Ha : sire pour dieu fait la damoisele demores encore  sil vous plaist  et il puet estre.  Et il dist 	Haa sire fist la dame  se il peult estre pour dieu demourez encores ce iour seullement  Et il luy respondit 	ha: Sire fait la dame  car remennes Auec nous  se il puet estre le Iour ceulement.  et il dit 	Luego Caualgo la dueña  e su hermano conella y otra gran Compaña 	Ail, sire, per Dio, disse la dama,  s’elli puote essere dimorate ancora questo giorno sola- mentes.  “Ed e' dice 
que ce ne puet estre, 	que ce ne puet estre. 	quil ne puet. 	quil ne puet 	quil nestoit pas possible 	quil ne porroit. 		che-cciò non puote essere, 
car il a trop a faire.  Et quant il est armez et montez el cheval,  si se part de laienz et la damoisele chevaucha delez lui 	quil a trop as fere.  Et quant il est armez  et monte a cheual.  Si se part de laienz et la dame cheuaucha delez lui. 	car il a trop a faire  et quant il est arme  et monte a cheual  si se part de leans  et la dame cheuauche apres luy 	quar il a trop a faire.  Quant il fu armes  si monte sor son cheual et sem part de laiens  et la damoisele cheualche par deles lui	car trop auoit a faire/  Et quant il fut arme  et monte sur son cheual/  si monterent ceulx de leans pour le conuoyer/  et la dame aussi 	Car trop auoit a faire.  et quant il fu armes  et montes sor son cheual  si monteut cil de laiens  et le conuoient 	y fueron Con don lanzarote Vna gran pieza  y la señora dueña dixo a don lanzarote 	ch’egli à troppo a ffare;  e quand’egli è armato,  si si parte di là  entro.E-lla dama l’acompagna 
							e cavalca dallato a-llui, 
et li prie por Dieu  qu’il se praingne garde d’Estor son frere; 	Et li prie pour dieu.  quil se praigne garde de hector son frere. 	et le prie pour dieu  qu il se preigne garde de hector son frere. 	et li prie por dieu  quil se prenge garde de son fil et de son frere 	qui cheuauchoit contre lui qui moult tendrement lui pria  quil pensast de hector son frere/  Et il luy promist 	et la dame li prie destor 	pordios os Ruego señor  que se vos miembre siempre de vuestro hermano hestor 	e l priega, per Dio,  ch’elli si prenda guardia d’Astore suo fratello, 
si dist  que se Diex li donnoit trouver, il ne se partiroit mais a piece de lui,  se il pooit.  Et quant il l’orent i grant piece convoié,  si les fait arester et dist  qu’il n’iront plus avec lui 	et il dit  que se diex li donast trouer  quil ne se departiront mes en piece  cil le pooit trouer.  et quant il lorent grant piece conuoie  si les fet arester.  Et lor dit  que il niront plus auec lui. 	et il dit  que si dieu luy donnoit trouuer.  quil ne se partiroit mais en piece dauec luy sil pouoit.  Es quant ilz leurent grant piece conuoye  si les fait arrester ce dit  quilz nyroient plus auec luy. 	Et il dist  que se diex li donne quil le truist. il ne se partiroit mais a piece de luise force ne li faisoit faire, 	que aussy seroit il  se il le pouoit touuer/ et de grant piece ne se partiroit de lui/  Et quant grant piece leurent conuoie/ il les fist arrester/  et leur dist  qu ilz ne iroient point plus auant auec luy. 	qu il Sen prangne garde comme de son frere.  quant il lont grant piece  conuoiet il les fait retorner. 	y acompañadlo y queredlo bien ca si vos menester fuese muchos fallariades  que vos siruiesen  e fiziesen seruiçio porel çierto 	ed e' le disse  che, se ldio li donasse a trovarlo, elli non si partirebono mai a peza.  eQuand’egli ànno gran peza acompagnato,  e elli fa ritornare.  allor dice  che non veranno più con esso lui, 
et les conmande touz a Deu. Et quant la dame voit  qu’il s’en vet, 	Et les commande touz a dieu.  Et quant la dame uoit  quil sen uet.	et les commande tous a dieu.  Et quant la dame uoi̾t quil sen uait 	Quant il lorent grant piece conuoiet. si lez commande lancelot tous a dieu. 	Si les commanda tous a dieu.  Et quant la dame uit  quil sen alloit 	et les commande a dieu.  et quant la dame len uoit aler 	señora dixo el 	si gli comanda tutto ardDio.  E quando la dama vide che se ne andarono, 
si li dist tout em plorant: «  Biaux douz sire,  por Deu et por l’ame vostre bon pere, pensez d’Estor mon fil et vostre frere. »  Et il dist  que si fera il, aseur an soit.  Atant s’an torne la dame molt dolente de Lancelot, 	Si li dit tout em plorant.  biaux sire pour dieu.  et por lame de uostre pere pensez de hector mon filz uostre frere.  Et il dit  que si fera il dont asseur en soit ele.  ATant sen torne la dame molt dolente de lancelot 	si luy dist. tout en plourant. Beau sire pour dieu  et pour lame de uostre pere pensez de hector mon filz uostre frere.  Adonc sen ua la dame moult doulente de lancelot 	Et la damoisele sen retorne moult dolante de lancelot.  Et il sen uait tous seuls lies et ioians.	Si lui dist tout en plourant.  Ha ha beau doulz cheualier/ pour dieu et pour lamour de uostre bon pere pensez de Hector mon filz et uostre frere/  et il luy dist  que aussy feroit il/  et que elle sen tint toute asseuree.  Atant sen tourna la dame moult dolente de Lancelot 	si li dit.  Biax dous sires  por dieu  et lamor uostre pere panses destor mon fil et uostre frere.  et il dit  que si fera il se dieu plait.  Atant sen torna la dame el chastel  qui mout estoit dolente de ce 	si dios quiere  que el falle ayna nunca jamas se partira demi y desque fueron vna gran pieza conel encomendolos a dios  e la dueña se torno asu Castillo 	si gli disse tutta impiangendo:  Bel sire,  per Dio  e per la anima di vostra madre, pensate d’Astor mio figliuolo e vostro fratellos;  ed e' dice  che-ssi farà elli, tutta sicura ne sia ella.  “Attanto si torna la dama molta dolente di ciò 
que plus ne sejorne o lui,  et il chevauche touz seus liez et dolanz, dolanz por Lyonnel  dont il ne set nouveles et liez por Hestor  qu’il cuide par tans trover. Et li chauz fu levez granz et mervilleus, 	et plus ne seiorne o lui.  Et il cheuauche tout seul.  Si fu molt dolenz. pour lyonel son cousin  dont il ne set noueles  Et liez pour hector quil cuide par tans trouuer.  Et li chaus fu leuez granz et merueilleux 	qui plus ne seiourne o luy  et il cheuauche tout seul.  Si est doulent pour lionel  dont il ne sceit nouueles  et lie de hector qu il cuide tantost trouuer.  et le chault fu leue grant et merueilleux 	Et dautre part est dolans de lyonel son cousin  dont il ne set nulle nouelle.  Et li chaus fu leues grans et merueilleus. 	qui plus ne auoit uoulu demourer/  et luy cheuaucha tout seul moitie courrouce/ moytie ioyeux/ courrouce pour lionnet  dont il ne sauoit nouuelles. Et ioyeux pour Hector  quil cuide par temps ueoir.  Si estoit ia le chault leue grant et merueilleux 	que lanc̃. ne uoloit laiens demorer.  et il cheuauche liez et dolens. Dolens de lyonel de quil ne sest nules nouelles. et liez de hestor  quil cuide ueoir par tans.  Li chaus fu grans et anuieus 	y don lançarote se torno asu camino  y andubo por todo aquel camino fasta ora de visperas 	che Lancelotto non vi sogiorna più con esso lei.  Ed egli cavalca tutto solo,  e-ssi fu molto dolente per Lyon  donde non sa nulle novelle, e lieto per Astore  ch’egli crede trovare.  “E caldo fu levato grande e maraviglioso, 
si li anuia a chevauchier  et il oste son hiaume 	si li anuia a cheuaucher.  et il oste son hialme 	se luy enuye moult a cheuaucher.  Et il oste son heaume	Si li anoia moult li cheualliers Il oste son heaume 	et lui ennuioit moult durement a cheuaucher/  Si hosta son heaulme 	si li anoiast mout a cheuaucher  et oste son hiaume		si-ll’invidia molto il cavalcare, 
qui molt li grevoit,  ce li estoit avis,  et le baille a J. escuier  qu’il ot trové el chemin. 	qui molt le gͤuoit  ce li est auis.  et le baille A .i. escuuer  quil ot trouue el chemin. 	qui moult le greuoit  si luy est aduis  et le baille a ung escuier  quil eut trouue ou chemin. 	qui trop li greuoit  ce li ert auis.  si le baille a vn escuier  quil ot troue el chemin. 	qui moult lui greuoit  ce lui estoit aduiz  et le bailla aporter a ung escuier  quil trouua emmy le chemin 	et le baille a i. escuier  quil ost troue en son chemin.	que fallo vna floresta  y ala entrada della estaua vna hermita 	e elli trae suo elmo che molto gli gravava, ciò è suo aviso,  e l baglia al uno scudiere  ch’egli truova nel miluogo del camino. 
Si erra en tel manniere  dusqu’a none 	Si erra en tel maniere iusques a nonne 	Si erre en tel maniere iucqua nonne. 	Si erra en tel maniere iusques a nonne.	Si cheuaucha en telle maniere iusques a nonne 	Si ua tant quil aproche dune forest 	enque estaua vn hermitaño 	Si va in tal maniera insino a nona 
qu’il entra en I. forest vielle et ancienjalne. Il voit a l’antree une chapele 	quil entra en une forest uieille et antiue. il uoit a lentree une chapele. 	si entre leans en une fourest uielle et ancienne et uoit a lentre une chapelle 	Et lors entra en vne forestt vielle et anciene.  et il voit a lentree vne capele 	quil entra en une forest uielle et ancienne  ou il y auoit a lentree une chappelle/ 	et uoit a lentree une chapele  ou il auoit .I. ermite mout preudome et encor la chapele auoit .I. cimetire 		ch’egli entra in una foresta vecchia e antica: elli vide nell’entrata una cappella 
ou il avoit I. hermite molt prodome, 	ou il auoit .i. hermite molt preudomme. 	ou il y auoit ung hermite moult preudomme 	ou il auoit vne crois sour vne cymentiere.	et dedens y auoit ung hermite moult preudomme. 	et .I.ne crois. 		ov’egli avea un romito molto produomo, 
et tout entor la chapele avoit a I. cimetire et a l’entree I. croiz et l. grant perron de marbre. Il esgarde sor le perron lestres vermeilles  qui disoient:  Os tu, chevaliers erranz  qui ceste part viens  por aventure trover,  se tu ne vels morir,  n’entrer mie en ceste forest, 	Et tout entour la chappele auoit .i. cimetiere.  et a lentree une croiz. et .i. grant perron de marbre. Il regarde sor le perron  et uoit letres merueilleuses.  qui disoient. O tu cheualier. erranz.  qui ceste part uienz pour auentures trouer.  Se tu ne uels morir.  Nentre mie en ceste forest. 	et tout entour la chapelle auoit ung cimetiere et a lentree une croix et ung grant perron de marbre Il regarde sur le perron lectres uermeilles  qui disoient. O tu cheualier errant  qui uient ceste part pourͬ trouuer auantures nentre pas en ceste fourest  se tu ne ueil mourir. 	Et dencoste auoit vn grant perron de marbre.  Et lancelot regarda sour le perron  et y uit lettres escriptes  qui disoient.  Os tu cheualiers qu par ceste part viens pour auenture trouuer.  se tu ne veuls morir.  si nentres mie en ceste forest 	Et tout entour la chappelle auoit ung cymetyere/  et a lentree une croix/  etung grant perron de marbre:  si regarda sur le perren lettres uermeilles  qui disoieut. O cheualier errant  qui ceste part uiens pout auentures trouuer  se tu ne ueulx mourir  ne entre point en ceste forest 	et .i. parron de maubre. Il uint a la crois  et regarde sor le perron lestres  qui i estoient escrites  et disoient. Tu cheualiers errans  qui ceste part uiens por auanture  se tu ne uues morir  ou estre liures a honte nentre la en celle forest 	y antela hermita estaua enel çimenterio vna Cruz envn padron de marmol  y quando don lançarote vido la cruz cato sobre el padron  y vio letras vermejas 	e tutto intorno alla cappella avea un cimitero,  e a l’entrata una croce in un gran petrone di  marmo.E elli riguarda in sul petrone  e vide seritte molte maravigliose lettere  che dicevano:  O tu, cavaliere errante  che n queste parti vieni per aventure trovare,  se-ttu non vuogli morire, non intrare mica in questa foresta, 
