micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
les hialmes es testes les espees es mains ausi apresté de deffendre que se l’en les volsist asaillir De ce se merveilla molt Lancelos ;	cheualiers tous armes les hiaumes laciez les espees es mains ausi aprestes de desfandre: comme se len les uosist asaillir Si se meruilla mout lanc̃	si com de heaumes en testes et despees es mains et aussi pres de euls desfendre que se on les volsist assaillir Ne chou sesmerueille moult lancelot	et dedans auoit cincq cheualiers armez ses heaumes es testes les espees es mains aussi aprestez de deffendre commen se len les uoulsist assaillir De ce se merueille moult lancelot	De ce se merueille lancelot	e las espadas enlas manos como si quisiesen defender de algunos quelos quisiesen acometer Desto se marauillo mucho lançarote	Elli isguarda lo ntagliamento che troppo est ricco molto lungamente si vide ch’e cavalieri avieno gli elmi in testa le spade in mano altresi aprestati d’asalire come se l’uomo gli dovesse manomettere api ciò si maraviglia molto Lancellotto
si se drece erraument	si se dresce erraument	et se drece em pies	si se drece erranment	si se dresse sur piez	e fue alla contraellos	si diriza isnellamente
et vet cele part si salue les chevaliers	et ua cele part et salue les cheualiers	si vait cele part et salue lez cheualiers	et uait celle part si salue les cheualiers	et ua celle part et salue les cheualiers	e ellos le dixeron señor bien seades venido	e va in quelle parti si saluta i cavalieri
et il dient que bien soit il venus	et il dient que bien soit il uenus	Et il li dient que bien soit il venus	et ilz dient que bien soit il uenu	Et ilz dient que bien soit il uenu	e el les rrindio sus saludes	e dicono che ben sia elli venuto
Et il entre dedens les prones par un petit huisselet a et esgarde les prones	et il entre dedens les prones par i petit usselet et esgarde les prones	Et lancelot entre dedens les prones qui tant sont beles et riches	Et il entre parmy ung petit huisset dedans les proues Et regarde les prones	et lancelot entre dedens les prones par ung petit huysset et regarde les prones	e lançarote cato vn poco los arcos	Ed elli entra di dentro el chiuso ov'era lo nta elli ella glio per un piccolo uscio di ferro e guarda lo ntaglio
qui tant sont riches qu’il ne cuide pas	qui tant sont riches quil ne cuide pas	Et regarde lez prones quil ne quide pas	qui sont tant riches que il ne cuide pas	qui tant sont belles et riches quil ne cuide pas	Porque heran muy Ricos e muy fermosos	che tanto est ricco che non crede passo
que nus rois les peust esligier;	que uus rois les poist eligier	que vns roys lez peust esligier	que ung roy les peust esliger	que ung roy les peust esligier	que vien cuidaua Que vn Rey No los podia tales façer	che nullo re il potesse fare fare
puis voit delés les chevaliers une tombe la plus riche qui onques fust fete par home	et puis uoit deles les cheualiers une tonbe la plus riche qui onques fust ueue par home	Et voit deles lez cheualiers vne tombe la plus riche que onques fust ueue de nul cheualier Car elle estoit toute de fin or a pierres precieuses qui valoient	Et puis uoit de la les cheualiers une tombe la plus riche qui oncquez fust ueue par hom̃e	et uoit delez les cheualiers une tombe la plus riche que encques feust ueue de nul homme:	e el asi Catando vio dentro enlos arcos vna muy Rica tumba qual nunca tal viera el ni ome del mundo	e vide dallato il cavaliere una tomba la più ricca ch’unque fosse veduta per huomo ch’ell’era tutto d’oro fine a pietre pretiose
kar ele ert tote d’or fin a chieres pierres precioses qui molt valoient miels d’un grant roialme	Car ele ert tote dor fin a pierres precieusez qui plus ualoient dun roiamne	j grant royalme	car elle estoit toute dor fin a pierres precieuses	car elle estoit de fin or a pierres precieuses qui plus ualloient que ung grant royaume	que hera toda de oro fino e de piedras preçiosas que estaua toda labrada de diuersas maneras e de muy muchas cosas de figuras	che più valieno d’uno gran reame
Se la tumbe fu de grant bialté nient ne monte la bialtés envers la richece dont ele estoit et avec ce estoit ele la greignor que Lancelos eust onques veue :	et dee la conbe fu de grant biaute Noiant monte a la richesce dont ele estoit et auec ce estoit ele la grignors que lanc̃ ueist onques	Et se la tombe estoit de grant biaute noient fu de la grant rikece dont elle estoit Et auec tout chou estoit elle la plus grande quil eust ao onques	qui plus ualoient dung grant royaume De la tombe fu de grant beaute riens ne monte la biaute enuers la richece dont elle estoit et auec ce estoit elle sa plus grant que lancelot eut oncquez ueue	Et se la tombe fut de grant beaute ce nestoit riens enuers la grant richesse: et auec ce estoit elle la greigneure qu il uist encques	e de otras cosas que tal tumba de tal manera nunca viera ni ome del mundo que la non ouiese visto no podria asmar la fermosura que enella auia de tales cosas como enella estauan	Se lla tomba fu di gran biltà niente fu della biltà inverso la riccheza dond’ella era piena e Pntorniata e con esso ciò era ella la magiore che Lancellotto avesse unque veduta
si se merveille molt	Si se merueille mout	mais veue Si sen est trop merueillies	si se merueille moult	si est moult esmerueillie	e don lançarote se marauillo	Molto lungamente riguarda Lancellotto la tomba che troppo gli sembia oltragiosamente piena di gran riccheza
						si sarebbe a suo aviso al re Artù
qui puet estre li princes	qui pot estre li princes	qui li princes pooit estre	qui puet estre le prince	qui pouoit estre le prince	e dixo entresi mesmo Quien podria ser el prinçipe	e molto si maraviglia chio può essere el principe
qui dedens fu mis Il demande as chevaliers qui sont iluec Sire font il nos gardons le cors qui en ceste tumbe est qu'il n’en soit portez fors de çaiens; si somes V por garder le de jors	qui dedens fu mis si demande as cheualiers que il font illuec Sire font il nos garoons le cors qui est dedens ceste tonbe que il nen soit portes hors de saiens Si i somes u por le garder chascun ior	qui illueques estoit mis Et il demande as cheualiers que il font illueques Sire font il nous gardons le cors qui chi gist en ceste tombe quil nen soit portes de chaiens Si sommes v por lui garder cascun ior	qui dedans fu mis Il demande es cheualiers quilz font ilecquez Sire font ilz nous gardons le corps qui est en ceste tombe quil nen soit porte de ceans si y sommes u pour le garder chascun iour	qui fut illec mis Et il demande aux cheualiers qui illec sont de quoy ilz seruent Sire nous gardons le corps qui gist dedens ceste tombe qu il ne soit porte hors de ceans Si sommes cinq pour le garder chacun iour:	que enella yaçia e lançarote pregunto alos caualleros e dixo señores que estades aqui façiendo señor dixeron los caualleros nos guardamos el cuerpo que yaze enesta tumba quelo no lleuen dende aqui e nos lo guardamos çinco caualleros de dia	che di dentro fu messo Quand’egli à molto isguardato si domanda e cavalieri che fanno nel luogo Sire dicono elli noi guardiamo il corpo che in questa tomba giace che no ne sia portato fuori di qua entro sì siamo qui v per lui guardare ciascuno giorno
par nuit en i a autres V	et par nuit en i a autre u	Et la nuit en y a autres v	Et de nuyt en y a autre cincq	et par nuit en y a autres cinq	e otros çinco de noche	e per la notte ce n’à altri cinque
qui font autretel servise comme nos faisons de jors —	qui font autretel seruise com uos faisons de ior	qui font autretel seruice comme nous faisonz de ior	qui y font tel seruice comme nous faisons chascun iour	qui font autel seruice comme nous faisens de iour	que no façemos	che fanno altrettale servigio come noi facciamo il giorno
Et por quoi fet Lancelos avez vos poor qu’il n’en soit portés — Sire font il por ce que uns des freres de çaîens qui molt est preudom et de sainte vie nos dist n’a encor gaires que uns chevaliers vendroit ceste part qui a force l’en osteroit et fors de cest païs l’en feroit porter Et nos gens de ceste terre voldrions miels morir qu’il fust remués d’entre nos : por ce si le gardons issi com vos veez lar li preudom i nos dist que li chevaliers ne demoreroit pas qu’il ne venist — Or me dites fet Lancelos ne fu cil molt haus princes a cui l’en fist	et porcoi fait lanc᷑ auez uos pa our que il nen soit portes SIre font il por ce que uns freres de saiens qui est mout preudoms et de sainte uie nos dit na encore gaires que uns cheualiers uandroit ceste part qui a force len osteroit et fors de cest pais len feroit porter et nos gens de ceste terre uodriens miex morir quil fust remuez dantre nous porce si le gardons ensi com uos ueez Car li preudons nos dit quil ne demorroit mie: quil ne uenit Or me dites fuit lanc̃ ne fu cil mout riche princes a cui	Et de coi aues vous paor fait lancelot Sire font il vnz des freres de chaiens qui moult est de sainte vie Nous dist na encore gaires que vns cheualiers vendroit chaiens qui par sa force len osteroit et le feroit mener hors de cest pais Et nos gens de ceste terre voldroient miex morir quil fust remues dentre nous Et por chou le gardons nous ensi comme vous vees car li preudom nous dist ke li cheualiers ne demourroit pas ke il ne uenist Or me dites fait lancelot et ne fu cils cheualiers moult haus homs a	Et pour quoy fait elle auez uous paour quil en soit ouste Sire font ilz pour ce que ung des freres de ceans qui moult est preudomme et de sainte uie nous dist na encor gueres que ung cheualier uiendroit ceste part qui a force sen osteroit et hors de ce pays len feroit porter deuant nous Et nous de ceste terre aymerions mieulx mourir quil fust remue dentre nous pour ce le gardons nous ainsi comme uous ueez Car le preudomme nous dist que le cheualier ne demourroit pas quil ne uenist De celle mesmes matiere dessus dicte Or me dictes fait lancelot fut il pas moult hault prince a qui len fist	Et pour quoy auez uous paour fait lancelot quil ne soit emporte Sire fent ilz pource que ung des freres de ceans nous dist na encores gaires que ung cheualier uendroit ceste part qui a force len osteroit et hors de ce pais le feroit porter et nos gens de ceste terre aymeroient mieulx mourir que il fust remue dentre nous car le preudomme nous dist que le cheualier ne demouroit pas quil ne uenist Or me dictes fait lancelot Ne feust pas cest cheualier hault prince a	y al Auedes miedo dixo Lançarote que voslo lleuen de aqui señor dixeron ellos si que vn fraile de aqui que mucho es buen ome e de sancta vida nos a dicho que vn cauallero vernia aesta tierra que por fuerça lo lleuaria desta tierra e las gentes desta tierra querrian antes ser muertos que el fuese lleuado de entre nos e poreso lo guardamos asi como vedes	— E perché disse Lancellotto avete voi paura che non ne sia tratto — Sire dicono elli per ciò che uno de frati di qua entro che molto est produomo e di santa vita no disse non à ancora guari ch’uno cavaliere verebbe in queste parti ch’a forza ne l trarebbe e 'l manderebbe fuori di questo paese a nostri occhi vegendo E noi di questa terra voremo meglio morire che fosse rimutato di tra noi perciò si l guardiàn noi insi come vo' vedete ciascuno giorno e ciascuna notte ché l produomo no disse che l cavaliere non dimorebbe passo a venire o ee Or mi dite disse Lancellotto non è quelli molto alto principe a cui l’uomo fece
si haute sepulture — Sire font cil haus hom fu il	si riche sepouture fu faite Sire font a haus hons	qui on fist ceste sepulture Sire font il haus homs fu il	si riche sepulture Sire font ilz il fu si riche et o tout ce quil fu	qui len feist ceste sepulture Sire font ilz ce fust ung hault homme	ca el ome bueno nos dixo que no tardaria mucho el buen cauallero	si ricca sepoltura ire dicono elli alto huomo fu elli e ricco e con tutto
et riches; avec ce qu’il fu haus hom fu il li plus preudom qui onques fust a son tens — Ha Diex fet Lancelos qui fu il — Sire	et riches fu il et li plus prendons qui onques fust a son tans Ha: diex fait il qui fu il	et riches Et auec chou fu il li plus preudoms qui fust a son tamps Ha : diex fait lancelos qui fu il	si hault homme il fu le plus preudomme qui oncquez fust en son temps haa dieu fait il qui fut il	et riche auec ce fust le plus preudomme qui onques fust en son temps Haa dieux fait lancelot qui fust il	Que no viniese alo sacar Agora me deçid dixo lançarote quien fue este tan Rico prinçipe que yaze entan rrica sepultura Señor Dixeron ellos Mucho fue alto ome e el mas noble Que nunca fue visto ay dios dixo lançarote quien fue señor dixeron ellos	che fu alto huomo de più del mondo fu elli el più produomo ch’unque fosse a suo tempo —Ha Iddio disse Lancellotto chi fu elli — Sire dicono elli se vo' conoscete lettere sapere il potete per tempo ché suo nome est scritto nel capo di quella lama
