,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
2297|2298|2299,? — Certes fait il nenil|— Ha Diex font i li autres tant|? nos perdons en sa mort !a Se il fust vis encor eussions nos esperance d eschaper de ceste prison;,Haa dieu fist laultre tant nous pardons en sa mort: se il fut uif encore eussons nous esperance de issir hors de prison,por buena fee dixo el no ay dios dixeron los otros mucho perdimos enel|que si el fuese biuo abriamos esperança de salir desta prision,Certes|? Ifait il nenil|ha diex font tous les autres tant perdons en sa mort sil fust uis encore eussiemes nous esperance dissir hors de ceste prison,
2300,mais puis qu il est morz nos n en istrons jamais,mes|puis qu il est mort nous nen istrens iamaiz,mas si el es muerto nunca de aqui saldremos,Mais puis quil est ensi quil est mors nous nen isterons iamais a nul iour pour homme|qui viue,
2301,car trop est cist aversiers de grant force,car trop durement est cest aduersaire de grant forche,que amarabilla es este diablo fuerte cauallero,Car trop est cils auersiers de grant force,
2302|2303,et de tel pooir|que nus ne porroit longuement durer a lui,et de tel pouoir|que nul ne pourroit lenguement durer a luy,e porende no lo puede ninguno durar,et de tel pooir|que nus ne porroit durer a lui|se che nestoit merueille,
,,,,quar il a conquis vne partie dez meillourss cheualiers del monde,
2304,Mais se Lanceloz fust vis il n eust ja a lui duree ne plus,mes ce lancelot feust uif il neust ia a luy duree neant plus,mas si don lançarote fuese viuo no le podria durar,mais se lancelot fust uis il neust ia a lui duree|nient plus,
2305|2306,que Karados li Granz li sires de la Dolerouse Tor|qui fu frere a cestui deable,que karados le grant le seigneur de la douloureuse tour|qui fut frere a cestuy deable,mas quele duro torandes el gran señor dela dolorosa torre,que carados li grans sires de la dolerouse tour|qui fu freres a cestui dyable,
2307,— Enon Dieu fait Lionel je l ai hui chierement achatee la mort de celui Karados,EN nom dieu fist lyonnel ie lay huy cherement acchetee la mort de celluy karados,que hera su hermano deste diablo Pordios dixo lionel oy compre yo Caramente su muerte,Enon dieu fait lyoniaus iou ai hui moult chierement achate le mort de celui Carados,
2308,car si tost com cil de ceanz sot,car quant ceulx de ceans sceurent,Ca porque sopo este Cauallero,Car aussi tost comme cils de chaiens sot,
2309,que je estoie cousins Lancelot il me fist despoillier tot nu,que iestoie cousin de lancelot|ilz me firent despouller,que yo hera su primo cormano de don lançarote fizome desnudar,que iou estoie cousins lancelot|il me fist despoillier tout nu,
2310,et me fist tant batre d espines poingnanz,et me ont batu tant douloureusement de espines pongnantz,e fizome dar tantas heridas con vnas Varas de espino,& me fist tant batre despines poignans,
2311|2312|2313,que je me poïsse bien baingnier en mon sanc|Mais se Dex me sauve celui|dont je me parti n a pas tierz jor g en serai venchiez a ma volenté,que ie me feusse en mon sang baigne mes se dieu me sauue cellui|donc ie me partiz ne a pas troys iours ien seroy uenge a ma uoulente|et si ne demourra pas gramment,que bien me pudiera bañar enmi sangre|mas si dios da salud aquel de quien oy me parti yo vien me cuido vengar ami voluntad ante de tres meses,que iou me peusse bien baignier en fN tsscl mon sanc|mais se diex me salue celui|dont iou me parti na pas encore tierc ior iou en serai encore uengies a ma volente,
2314,Einsis est mis Hestor en prison avec ses autres compaingnons el Tertre de la Fontainne,Ainsy est mis hector en prison auec les aultres compaignons,e asi fue estor metido en prision|como oystes,Ensi est hectors mis en prison auec sez autres compaignons,
2315,Si laisse ore li contes de lui,Si laisse ores le compte a parler de luy,mas agora dexa el quento de fablar del,Mais atant se taist ore licontes a parler de lui,
2316|2317,et de cels|qui o lui sont,et de ceulx|qui auec luy sont,e desus compañeros|que estauan enla prision,& de euls tous,
2318,et retorne a Lancelot,et retourne a lancelot,e torna a don lançarote,et retorne a parler de lancelot,
2319|2320,que Lioniax ot leissié dormant|Or dit li contes,que lyennel auoit laisse dormant|Comment la royne de sorestan|et morgram la fee firent emporter lancelot au chasteau de la charette|et comment une damoiselle le deliura de prison|et comment il uainquit le tournoiement dentre le roy de norgalles|et le roy bandemagus|et comme apres le tournoiement une damoiselle le mena a corbenic|OR dist le compte,que dexo lionel durmiendo Como las tres dueñas encantaron a don lançarote Enesta parte dize el quento,que Lyoniaus ot fes laissie dormant qhe dist li contes,
2321|2322,que quant Lanceloz fu remés dormant aprés ce|que Lyoniax s en fu alez ne demora mie gramment,que quant lancelot fut demoure dormant apres|que lyonnel sen fut alle|ne demoura pas gramment,que quando lionel se partio de don lançarote y lo dexo durmiendo,que quant lancelot fu remes dormant apres ce|que Lyoniaus sen fu ales|il ne demora gaires,
,,,que luego de ay a vna poca de ora paso,,
2323,que i par illuec passoit une bele dame,que par illec passoit une belle dame,por ay vna fermosa donzella,que par illuec passa vne Royne,
2324,qui estoit reine de la terre de Sorestan,qui estoit royne de la terre de sorestan,que hera Reyna de frotesta vn Reino,qui estoit roine; de la terre de sorestan:,
2325|2326,qui marchisoit a Norgales par devers Sorelois|et menoit avec lui plus de LX,qui marchissoit en la terre de norgalles par deuers sorellois:|et menoit auec elle plus de|xl,que comarca con norgales y aquella Reyna hera muy fermosa yban conella beinte caualleros todos armados y quatro caualleros llebauan sobre ella vn muy Rico paño alçado conlas lanças,qui marchissoit a norgales par deuers sorelois|si uenoient auec li plus de|lx,
2327,chevaliers armez,cheualiers armes,,cheualiers tous armes,
2328,si portoient par desus lui IIll,si portoient|iiii,,si portoient par dessus li quatre uallet,
2329|2330,vallez a cheval I|tapiz sor IllI,cheualiers ung drap dessus elle sur,,i|paile a cheual sor|iiij,
,,iiii,,,
2331|2332|2333|2334,lances|por le chaut|qui mal ne li feist a|Ele resgarde le cheval Lancelot,lances pour le chault|que mal ne luy feist|Elle regarde le cheual lan,porque no la fiziese mal la calentura y|quando ella vido el cauallo de don lançarote,lances|Et elle regarda le cheual lancelot,vNé e' non vuole isvegliare Lancelotto
2335|2336,qui pessoit|et pense,qui pessoit|Et pense,que andaba paçiendo|luego osmo,qui paissoit de lerbe|Si pensa,ch egli à paura
2337|2338,que la se gisoit aucun chevalier|por soi reposer,que la se gise aucun cheualier pour soy reposer,que algun cauallero,que la se dormoit aucuns cheualiers pour soi reposer,che Lionel tenesse a codardone
2339|2340,et quide bien|que soit des chevaliers aventureus de la maison le roi Artu,sy cuide bien|que ce soit ung des cheualiers aduantureux de la maisen du roy artus,que andaba alas abenturas yazia folgando y,Si quide bien|que che soit des cheualiers errans de la maison le roy artu,
2341|2342,Ele apele II|dames,elle appelle deux dames,luego llamo dos dueñas,Si apela|ij|dames,
2343|2344,dont l une avoit non Morgue la fee|et l'autre Sedile la roine,donc lunne auoit a nom margam lafee|et laultre auoit a nom sibille lenchanteresse,que yban conella y la vna hera morgai hermana del Rey artur y la otra hera sevilla y estas tres heran las dueñas del mundo,dont li vne auoit a non Morgue,
2345|2346,et ce estoient les III|fames ou monde,Et cestoient les trois femmes du monde,,? la fee,
2347|2348,qui plus savoient d anchantement|et de charaies sanz la Dame del Lac,qui plus sauoient de enchantement sans la dame du lac,que mas sauian de encantamientos de caraturas saluo la Reyna de norgales y la dueña del lago y,& lautre sebile e lenchanterece,
2349,Et por ce qu eles en savoient tant tant s entramoient eles,Et pour ce quelle en sauoit tant sentre amoient elles,,,
2350,si qu eles chevauchoient ensemble toz dis,si que elles cheuauchoient tousiours ensemble,,,
2351|2352|2353|2354|2355|2356,et buvoient|et manjoient|Et ele dist qu ele velt aler veoir cui cil chevax est:|si fait touz les chevaliers arester|et enmoinne o li les II|gentilz dames,et buuoient|et mengoient|et elle dit|que elle uouloit aller ueoir a|qui ce cheual estoit|Si fait tous ses cheualiers arrester|et emmaine auec elle les trois ieunes dames,porque ellas sauian|mas andauan deconsuno y la Reyna dixo alas otras yo quiero hauer aquel Cauallero|que alli esta y|luego fiçieron estar los cauallos quedos y fueronse alla contra,Et ce estoient les|ij|femmes del monde,e non ridotta nulla cosa fiore altretanto come lui|VoQuando Lion est armato al meglio
2357|2358,Si vont cele part a cheval|et trouverent Lancelot,Elles uont celle part|et treuuent lancelot,do estaua el cauallo paçiendo y fallaron a don lançarote,,ch elli puote è elli montato in su' cavallo
2359|2360,qui encore dormoit molt fermement|Et eles le resgardent moult longuement eles le voient de,qui se dormoit fermement|Et celles le regardent moult longuement|et le uoient de,que dormia muy fuertemente y ellas lo cataron gran pieça y vieronlo,,si prende su scudo
2361|2362,si grant biauté qu il ne resamble mie|si com il dient home charnel mes chose faée,si grant beaute quil ne resemble pas sicomme elles dient homme mortel,mas fermoso|que otro|ome terrenal,,
,,mais chose faee,,,
2363|2364,Et la roine|qui primes parole dist a chascunne compaigne Par Dieu dame vos poez bien dire,Et la royne|qui premierement parle dit a ses compaignes|Par dieu dames uous pouez bien dire,e la Reyna de floresta dixo alas otras pordios dueñas agora podedes ver,,e sua lancia
2365|2366|2367,que onques|mais ne veistes|si bel tousel,que oncquesmais ne ueistes|si belle chose,que esta es la|mas fermosa cosa del mundo,,
2368,Si m aïst Diex a mon avis molt se porroit prisier la dame,Si maist dieu|et mon auiz celle dame se pourroit moult priser,que yo nunca vi|e mucho se deuia preçiar la dueña,,
2369,qui de tel tousel avroit la seingnorie,qui de tel cheualier auroit la seigneurie,que sobre tal Cauallero hubiese poder y,,
2370,et pleust ore a Dieu,Et pleust ore a dieu qu il me aymast au,asi me ayude dios yo querria tanto,,
2371|2372,que il m amast autant com chevaliers ama onques plus damoisele|Si m aïst Diex je m en tandroie a plus riche,tant que oncques cheualier aymast damie|Si maist dieu ie me tendroie a plus riche,que el me amase ami,,
2373|2374,que se je avoie toutes les terres dou monde en mon demainne|— Ha dame fait Morgue molt seroit ore mielz emploiez en moi qu en vos,que se ie auoie toutes les terres du mende en men demaine Haa dame dit morgain mieulx seroit emploie en moy,como aquien me diese otra Cosa y toda la tierra del Rey artur y pluguiese a dios,,
,,que en uous:,,,
2375,car je sui de millors genz,car ie suis de meilleurs gens,que me amase tanto,,
2376,que vos n estes encor soiez vos roine ;,que uous nestes ia soit ce|que uous soiez royne,,,
2377|2378,si sai plus cortoisie|et honor,Si scay plus auoir courtoisie,como nunca cauallero amo a dueña Pordios dixo morgana mucho seria empleado enmi su amor,,
2379,que vos ne savez,que uous:,que no es envos,,
2380,et por ce m ameroit il plus,et pour ce me aymeroit il mieulx,,,
2381,et tanroit plus richement qu il ne feroit vos,,,,
2382|2383,— Enon Deu I|qui plus savoient uenchanteniens suns la dame der Eac,,que aunque seades Reyna yo so de mayor guisa,qui plus sauoient denchantemens sans la dame del lac,
2384,Et la royne dist,,,Et la royne dist,
2385|2386|2387|2388|2389|2390|2391|2392|2393,que elle veult aler veoir|qui cils chevals est|si vait cele part tout a cheval|et trueve Lancelot|qui encore dormoit|Et la royne dist a ses compaignes|que vous vous poés bien dire|que vous MN onques|mais ne veistes nulle,et me tendroit psus chierement quil ne feroit uous|Eu nom dieu fist lautre celle|qui auoit nom sebille encores le deuroie ie mieulx auoir,que no vos y|para tanto se yo|que me querria|e me pertenesçia,que elle veult aler ueoir|qui cils cheuals est|si vait cele part tout a cheual|& trueue lancelot|qui encore dormoit|& la royne dist a ses compaignes|que vous onques|mais ne ueistes nulle,e lascia Lancelotto dormendo|e se ne torna apresso il cavaliere quanto|che l cavallo puote andare
2394,si bele cose,,,si bele cose,
,,,,Isi mait diex a mon auis,
,,,,Moult se deuroit priser la dame,
,,,,qui de tel homme auroit la seingnorie,
,,,,& pleust ore a dieu quil maimast ore autretant : comme nul cheualier ama onques nulle dame,
2395|2396,Or vous dirai|que nous ferons fait la royne,,mas que avos pordios dixo seuilla,si mait diex ie me tendroie a plus riche dame|que se il auoie tote la terre del monde en ma baillie|Ha : dame fet morgain moult seroit ore mieuz enploie en moi :|que en uous|quar ie sui de meilleur gent|& de plus haut lignage|que uus niestes|encore soiez uous roingne|& por ce me tendroit il plus chiere|& plus mameroit|que vos|En non dieu fet lautre dame|qui auoit non sebile: encore le deuroie ie auoir mieuz|que vous|quar ie sui plus bele|& plus ione|& plus enuoiscas else de uos|ii|si le sauroie mieuz seruir a sa uolente|& por ce me semble il :|que fuousl uos en deuez bien tere del parlerl Or vous dirai|que nous ferons fait la royne,: esi l agiugne all avlalllar d un poggio
2397,Esveillons le,,,esueillons le,
,,,,& nos offrons totes a son seruise,
,,,,Et telle quil uoudra detenir remaingne O luil,
2398,— Enon Dieu fait Morgains ensi ne le ferons nous mie,,,Enon dieu fait morgains|ensi ne le ferons nous mie,
2399|2400,mais je vous dirai|que oh en face,,mas aguisado seria,mais ie vous dirai|que on en face,e quand egli è presso
2401,Faisons faire une biere chevaleresce,,,Faisons faire vne biere cheualeresce,
2402,si l enportons ch est li mieldres cors,,,si lenportons|chest li mieldres cors,
2403|2404|2405|2406,que jou y voie|et le portons|el chastel de la charete|— Par foy font Lors comniandent a lors chevaliers qu il aillent colper der bois;,que uous,que el amase ami|que no avos,que iou y uoie|& le portons al chastel de la charete:|Par foy font elles vous dites bien|Ors commandent a lors cheualiers quil aillent colper del bois,si lo sgrida
2407|2408,et cil|si firent,car ie suis plus belle,que yo so,Et cil|si Lfirent,ch egli è morto
2409,si orent tost fait une litiere,,,si orent tost faite vne litiere,
2410|2411,Et les dames|si orent tost Lancelot,et plus gente,mas niña,Et les dames|si orent tost lancelot,E quelli il riguarda
