micha-iv-75-4	inc-iv-75-4	fr111-iv-75-4	fr751-iv-75-4	fr333-iv-75-4	sommer-iv-75-4	lanzarote-iv-75-4	lancellotto-iv-75-4
Lors s’en vait o la dame en une chambre a et ele li dist,  quant il fu assis: « Sire, 	Lors sen alla le roy auec la damoiselle en une chambre/  et elle luy dist quant il fut assiz. Sire 	Lors sen ua o la dame en une chambre  et elle luy dist  quant il fu assis. Sire 	et li rois sen ua auec la dame en une  chanbre.et ele li dit  quant il furent assis. Sire 	Lors sen uet o la dame en une chambre.  Et ele li dit  quant il fu assis. Sire 	Lors sen uait li roys auec la dame en vne cambre  si sassieent sor vne couce.  et lors li dist la dame. Sire 	y desque se asentaron dixo la vieja al Rey 	
que porrons nos fere de cest chevalier 	que pourrens nous faire de ce cheualier	que pourrons nous faire de ce cheualier 	que porrons nos faire de cet cheualier 	que porrons nous fere de cest cheualier. 	que porrons nous faire de cest cheualier 	señor que faremos deste Cauallero 	
que Diex nos a amené ? — Je ne sai, fait il, 	que dieu nous a amene Ie ne scay fist le roy 	que dieu nous a amene. Ie ne scay fait le roy 	que diex nos a saiens amene. Ie ne sai fait il 	que diex nous a amene. Ie ne sai fet il. 	que diex nous a amene. Iou ne sai fait li roys 	que nos dios aqui traxo no se  que podamos 	
que l’an an doie faire  fors qu’il avra ma fille a faire sa volenté. —  An non Dieu, fait la dame, je sai bien 	que ie en doye faire  fors quil aura ma fille a faire sa uolente.  Certes sire dist la dame ie scay bien 	quon en doye faire fors quil aura ma fille a faire sa uoulente.  Certes fait la dame ie scay bien 	que gen doie faire. fors tant que il aura ma fille a sa uolente.  En nou dieu sire fait ele Ie sai bien 	que len en doie fere fors  quil aura ma fille a faire sa uolente. En non dieu fet la dame. ge sai bien. 	que on en face.  fors ce  que on li donra ma fille a faire sa uolente. Enon dieu fait la dame. iou sai bien 	ay fazer saluo tanto  quele dare mi fija  que faga della su voluntad  Pordios dixo ella  yo se 	
qu’il ne la voldra mie panre, 	qu il ne la uouldroit pas acepter 	quil ne la uoudra pas prendre 	quil ne la uodra mie prandre 	quil ne la uoldra mie prendra 	quil ne la volra mie prendre 	que la non querra 	
quant l’an li offerra,  car il aimme tant la roine, la fame le roi Artu, 	quant len luy offriroit.  Car il ayme tant la royne la femme au roy artus 	quant len luy offerra.  car il ayme tant la royne la femme au roy artus	quant on li aura oferte.  Car il aimme tant la roine Guenieure la fame le roi artus : 	quant len li offerra.  Car il aime tant la royne la fame le roy artur 	quant on li Offera quar il aime tant la royne genieure la femme au roy artus	que el ama tan lealmente ala Reina de bretaña 	
qu’il ne voldroit avoir nule autre, 	quil nen uoudroit auoir nulle aultre 	qu il ne uoudroit pas auoir nulle autre. 	quil ne uoroit auoir nulle autre faire compangnie.	quil ne uoldroit auoir nule autre. 	quil ne voldroit auoir nulle autre.  Et 	que se  que el no querra otra muger que enel mundo sea 	
et par ce couvandra il que Pan le face si saigement 	par quoy il fauldroit  que len le fist si saigement 	par ce conuiendra il que sen le face si sagement 	et por ce conuanra il  que on le face  si saigemt᷑ 	Et par ce couendra il  que len le face si sagement. 	por ce conuendra il con le face si sagement 	y porende Conuiene  quele demos la donzella tan enCubiertamente 	
qu’il ne s’en aperçoive. — 	quil ne sen aparceust. 	quil ne sen apparcoiue. 	que il ne sen parsoiue. 	quil ne sen apercoiue. 	quilne sen aperchoiue. 	quelo el no entienda agora 	
Or an esploitiez, fait li rois, 	Or en faictes dist le roy tout ainsi 	Or faictes fait le roy 	Or parra fait li rois 	or en esploitiez fet li rois. 	Or en esploities fait li roys. 	catad dixo el Rey  Como lo fagades 	
si com vos voudrez,  car il covient	comment uous lentendez.  Car il conuient 	comme uous scauez  car il conuient 	coument uos le ferois Fait li rois  et coment uos en esploiterois saigement.  Car il couieut outreement 	si comme uous uoudrez. Car il couient 	quar il conuient 	ca toda via conbiene 	
qu’il soit fait. — 	que cela se face. 	quil soit fait.	quil soit  Si en faites del tout a uostre uolente.	quil soit fet. 	que ce soit fait. 	que sea oy 	
Or ne vos entremetez plus, fait la dame,	Si lui respondit la dame/  ne uous en entremettez plus 	Ne uous en entremetez plus fait la dame. 	Or ne uos en entremetes Ia 	Or ne uous en entremetez plus fet la dame. 	Or ne vous en entremetes plus fet la dame.  mais laissies ment conuenir. 	Mas callad dixo ella 	
car j’en vendrai bien a chief. » 	Car ie en uiendeay moult bien a chief. 	car ien uiendray bien a chief. 	car gen naurau mout bien a chief. 	Car gen uendrai bien a chief. 	quar iou en vendrai bien a chief  se dieu plaist. 	ca yo lo cuido muy sesudamente fazer 	
			Si quil ne sen prandra Ia garde 				
			ne il ne autres.				
Lors entre li rois en la sale  et vient a Lancelot  por faire lui compaingnie; 	Lors entra le roy en la salle  puis uint a lancelot  pour lui faire compaignie: 	Lors entre le roy en la sale  et uient a lancelot  pour luy faire compaignie 	Lors entre li rois en la salle  et uient a lanc̃. por Iui faire compangnie. 	Lors entre li roys en la sale  et uient a lanc̃.  pour fere lui compaignie.	Lors sen reuint li roys en la sale  et se rassiet deles lancelot  pour faire lui compaignie	y luego torno el Rey a don lançarote  ca mucho se pagaba desu compaña 	
si parolent li uns a l’autre  et s’entracointent au plus bel 	si parlerent lun a lautre:  et sentre acointerent au plus bel 	si parle lun a lautre  et sentracordent au plus bel 	Si parolent li uns a lautre  et sentracourrent au plus bel 	si parole li uns a lautre  et sentracointent au plus bel 	Si parlerent li uns a lautre de maintes choses.  Et sacointerent li vns de lautre le plus 	y fablaron ambos de muchas Cosas 	
qu’il pueent.  Si li demande Lanceloz 	quilz peurent  et lui demanda lancelot. 	qu ilz peuent  Si luy demande lancelot 	que il seuent.  Si li demande lanc̃ 	que il pueent.  si li demande lanc̃. 	quil pueent.  Si demande lancelot au roy	y don lançarote dixo al Rey 	
conment il a non  et il dist 	comment il auoit nom  et il lui dist 	comment il a nom  et il dit 	comment il a non.  et il li dit 	comment il a a non.  Et il dit 	comment il a a non.  Et il dist 	señor como hauedes nombre amigo dixo el Rey 	
que l’an l’apele Pellés de la Terre Foreinne. Endementres  qu’il parloient einsi,  si resgarde Lanceloz  et voit laienz entrer par une fenestre le coulon 	quil auoit a nom parles de la terre foraine  Ce temps  pendant quilz parloient ainsi lancelot regarda et uit leans entrer par une fenestre le coulomb: 	qu il a nom pelles de la terre foraine.  Ce pendant  quilz parloient ainsi regarda lancclot  et uit entrer leans par une fenestre ung coulon. 	com lapele Pelles le roi de la terre forainne. Endementieres  quil parloient ainsi  se regarde  lanc̃.et uoit entrer parmi la uerriere le coulon 	que len lapele pelles de la terre foraine. ENdementiers  quil parloient einssi.  si regarde. lanc̃.  et uoit laienz entrer le colomb 	quil a a non li roys pelles de la terre foraine Ndementres  quil parloient ensi. si esgarde lancelot  et voit entrer vn colon parmi vne des fenestres  Et ce fu cils 	ami dizen pelas Rey dela tierra forana  y ellos ansi fablando vio don lançarote entrar porvna finiestra el palomo 	
que mes sire Gauvain. avoit veu autre foiz  et portoit en son bec I. encensier d’or molt riche. 	que menseigneur gauuain auoit ueu autresfoiz  qui portoit en sen bec ung encencier dor moult riche/ 	que messire gauuain auoit autrefoiz ueu et portoit en son bec ung encensier dor moult riche. 	que messires .G. i auoit ueu entrer. A lautre fois  et portoit en son bec .I. encencier mout riche. 	que misire .G. auoit ueu autre foiz.  Et portoit en son bec .i. encencier dor molt riche. 	que mesires Gauuain ot ueu a lautre. fois. si portoit. i. encensier dor moult bel et moult riche. 	que don galuan viera otra vez  y traia enel pico vn muy Rico inçensario 	
Et si tost com il fu laienz entrez, si fu li palais repleniz de totes les bonnes odors 	et si tost comment il fut entre leans/ le pallaiz fut rempli de toutes les bonnes oudeurs 	Et si tost  quil fu leans outre  si fu le palays remply de toutes les bonnes odeurs 	et si tost comme il fu laiens entres.  si fu li palais raenplis de totes les bones odours 	Et si tost comme il fu laienz entrez si fu li pales raempliz de toutes les bones odors. 	Et si tost comme il fu laiens entres. fu li pales emplis de toutes boines odors 	y tanto que fue dentro fue el palaçio cumplido de todos los buenos olores del mundo 	
que cuers d’ome porroit penser.  Et lors se turent par laienz,  qu’il n’i ot celui  qui mot deist, 	que cueur de homme pourroit penser. Et lors se teurent tous par leans en faisant grande silence/ et se agenoullerent 	que cuer domme pourroit penser.  Et lors se teurent tous leans  qu il ny eut untg seul  qui dist mot. 	que cuers mortex porroit panser ne boche dire.  Lors se teuostret tuit par laiens  quil ni ot celui  qui mot deist. 	que cuer porroit penser.  Et lors se turent tuit par laienz.  quil ni ot cil  qui mot deist. 	que cuers domme porroit penser  Et lors se teurent il tout par laiens.  si quil ni ot celui  qui mot deist. 	y luego Callaron todos  y nunca fablo ninguno ninguna palabra 	
ainz s’agenoillierent,  quant il virent le coulon venir.	quant ilz uirent le coulomb uenir/ 	ains sagenoillent tous  quant ilz uoyeut uenir le coulon. 	Ains sagenoillerent tuit  quant il uirent le colon uenir. 	Ainz sagenoillent  quant il uirent le colomp uenir.	Aincois sagenoillerent tout.  quant il virent le colon uenir. 	antes fincaron todos los inojos 	
Et il entra maintenant en une chambre. 	et lors entra en uue chambre 	Et il entre maintenant en une chambre. 	Et il entra d̶ tout droit en une chanbre. 	Et il entra maintenant en une chambre. 	Et il entra en vne cambre. 	y començaron a orar 	
Lors saillent li sergent et metent les napes sus les dois, 	puis furent les nappes mises sur les tables/ 	Lors saillent les sergens  et mectent les napes sur les tables. 	et maintenant saillirent par laiens seriant  et mestent les napes sor lor dois. 	Lors saillent li seriant et metent les napes sus les doiz. 	Lors saillirent li sergant  et misent lez tables et lez napes.	y tanto que el palomo se fue auna Camara los seruidores se leuantaron 	
si s’asieent li un et li autre  sanz ce 	si se assirent lun et lautre  sans ce 	et sasseoient les ungs et les autres sans ce 	Si sacirrent li un et li autre. 	si sassient li un et li autre.  sans ce 	si sassieent li vn et li autre. Sans chou 	y pusieron las mesas y muchos vasos porellas 	
que nus i deist mot  ne nus n’i fu apelez.  De ceste chose se merveille molt Lanceloz, 	que nul deist mot  ne nul ne y fut appelle  De ceste chose se merueilla moult lancelot si fist ainsi 	que nul y deist mot  ne y fust appelle  De ceste chose  se merueille moult lancelot 	sans ce que nus i deist mot ne i fust apelez.  De ceste chose ce merueille mout lanc̃. 	que nus i deist mot.  ne nus ni fu apelez. de ceste chose.  se merueille molt lancelot. 	que nus en desist mot.  ne nus ni fu apeles pour mangier.  et de ce sesmerueilla moult lancelot. 	y asentaronse aellas todos los Caualleros  ca non se Conuidaron vnos a otros y desto fue marauillado don lançarote 	
si fait autel come li autre 	comment les aultres 	si fait ainsi comme les autres 	Si fait autretel  comme li autre font. 	si fet autel comme li autre 	Si fait aussi comme li autre font. 	Pero el fizo  asi como vio alos otros fazer 	
et l s’asiet devant le roi  et voit 	et se assist deuant le roy en regardant 	et sassiet deuant le roy.  et uoit 	et saciet deuant le roi.  et uoit	Et sassiet deuant le roy.  Et uoit 	et sassiet deuant le roy. 	y asentose a par del Rey  y quando el vio  que fazian oraçion fizo el otrosi y luego a poco de ora vio salir dela camara  ado entrara el palomo la donzella  que biera con galuan  y dixo don lançarote entresi 	
qu’il sont tuit em prieres et en oroison  et il fait autel  comme li autre font. 	quilz estoient tous en prieres et oraisens  et commenca a faire comme les aultres faisoient. 	quilz sont tous en prieres et en oraisons et il fait aussi comme les autres. 	qu il Sont tuit en pereres et en orisons  et il ausis.	quil sont tuit em proieres et en orisons.  et il fet autel comme li autre font. 	et uoit que tout li autre sont en proieres et en orisons. 	que verdad heralo quele dixera la dueña  que alli lo traxera  quelo mostraria la cosa mas fermosa del mundo 	
Aprés ce qu’il furent assis ne demora gueres  qu’il vit issir d’unne chambre une damoisele 	Apres ce ne demoura gaires  quilz uirent yssir dune chambre la damoiselle 	Apres ce ne demoura gueres quil uirent yssir de leans une damoisele 	Apres ce ne demora gaires  que lanc̃. uoit issir dune chambre la damoisele 	APres ce  quil furent assis ne demora gueres  quil uirent uenir dune chambre la damoisele 	Apres ce que li roys fu assis.  si ne demora gaires  que Lancelot uit issir la damoisele 	y ansi hera 	
que mes sire Gauvain ot tant resgardee, si fu si bele et si avenanz de toutes choses 	que menseigneur gauuain auoit tant regardee si belle et si auenant de toutes choses 	que messire gauuain eut tant regarder  si fu si belle et si aduenant. De ce dist lancelot mesmes 	que messires .G. ot trait resgardes.  et fu si tresbele et aueuans de tant de choses : 	que monseignor .G. ot tant regardee.  si fu si bele et si auenant de toutes choses. 	que monseignor Gauuain eut tant regardee  et fu si bele et si auenant des toutes choses.	que nunca mas fermosa Cosa viera saluo a su señora la Reina ginebra y el Cato vn baso 	
que Lanceloz meesmes dist bien 	que lancelot mesmes disoit 	quil nauoit oncquez 	que lanc̃ dit 	que lanc̃. meismes dist bien. 	que lancelot meismes dist. 		
que onques mais a fame ne vit si grant biauté,  se ne fu en sa dame la roine 	que oncques en femme nauoit ueu si grant beaulte  fors en sa dame la royne. 	mais ueu si grant beaute en femme si non en sa dame la royne. 	que en dame nauoit ueu si grant biaute for en sa dame la roine. 	que onques mes en fame ne uit si grant biaute.  se ne fu en sa dame la royne. 	quil onques mes ne vit femme de si grant biaute fors que sa dame la royne 	que ella traia 	
