micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
dont il avoit trop perdu. Je trespassoie  par illuec armez sor mon destrier et venoie de Canpercorentin,  et quant je vi le chevalier gesir a la terre, 	dont il auoit tant perdu/ et moy  qui passoye illec sus mon destrier  et uenoye de quinpercorentin ie uiz le cheualier gesir sur mon chemin a la terre si allay celle part/ 	dont il auoit trop perdu. Ie trespassoie par illuec armes sor mon destrier.  et uenoie de chacier.  et quant ie ui le cheualier a terre 	quil auoit perdu.  Et iou  qui chi sui trespassoie  par illuec armes sor mon cheual  et men venoie de camparcorentin.  Et quant iou ui le cheualier gesir a terre 	donc il auoit tant perdu.  Et ge trespassoie par illeuc touz armez seur mon destrier.  et uenoie de quenpercorentin.  et me hastoie molt de uenir pour estre de iors a la cort.  Et quant ge ui le cheualier. gesir a la terre. 	quil auoit tant perdu Ie passoye par ilec arme.  Et quant ie uy le cheualier a terre		donde egli avea tanto perduto.  oE io passava per lo luogo tutto armato sopra mi destriere e venia di Queprovente,  e mi studia'molto di venire per essere di giorno alla corte,  e vide il cavaliere giacere alla 
si alai cele part  et le trouvai tout couvert de sanc et son cheval mort delez lui. 	et le uy tout couuert de sang et son cheual mort emprez lui/ 	si alai cele part.  Si le trouai tot couert de sanc  et son cheual mort deles lui. 	si alai cele part  et le trouai tout couuert de sanc et son cheual mort deles lui. 	si ale cele part.  et le ui tout couert de sanc et son cheual mort lez lui. 	si alay celle part  et le trouuay tout couuert de sang et son cheual  qui estoit mort pres di luy. 		terra.E io andai in quelle parti  e vidi tutto coperto di sangue  e su' cavallo morto dallato a 
Quant il me vit, 	et quant il maperceut 	quant il me uit 	Et quant il me vit 	Et quant il me uit. 	Et quant il me uit 		llui.E quand’e’mi vide, 
si me requist  por Deu  que jel montasse sor mon cheval devant moi,	si me pria  que le montasse derriere moy sur mon cheual 	si me requist  que ie le montasse sor mon cheual 	si me requist pour dieu  que iou le montaisse deuant moi sor mon cheual 	si me pria pour dieu.  que ge le montasse sus mon cheual. 	si me requist pour dieu  que ie le montasse sur mon cheual deuant moy 	y preguntole 	si mi pregò, per Dio,  ch’io il montassi sopra il mi' cavallo 
si l’emportasse a la cort 	et men alasse a la court 	si le portasse a la cort. 	si leny portaisse a la cort le roy	et men alasse a la court. 	et lemportasse a la court 		e menassi a corte,
et le meisse a la Table Reonde, « 	puis le meisse deuant la table ronde 	et le meisse a la table reonde. 	et le meisse a la table roonde : 	et le meisse a la table reonde 	et le meisse a la table ronde 		e menassi alla Tavola Ritonda per morire. 
car se je trespas  illuec,m’ame en sera plus a aise touz les jorz dou monde ». Je fis ce 	pour mourir  car se ie meurs illec fist il mon ame en sera plus aise a tousiours mais.  Et ie fiz ce 	Car ce ie trespace illuec fait il marme en cera plus aisse a tous les Iors del monde. Ie fis ce 	Car se iou muir fait il iluec mame en sera plus a aise  a tous lez iours del monde  Et iou fis chou 	pour morir.  Et se ge muir illec fist il mame en sera plus aaise. A touz iors mes.  Et ie fis ce 	car si ie me meurs ilec maine en sera plus aise tous les iours du monde Ie feis ce 		tE. s’i' muoio nel huogo, diss'egli, mia anima ne sarà più ad agio a tutti i giorni mai” . 
qu’il me conmanda, 	quil me requist 	quil me pria 	quil me commanda 	quil me requist 	quil me requist 		Ciò fecio ciò  che me richiese, 
si l’amportai a Cardueil. 	si lemportay a la court a cardueil 	si le portai a carduel. 	si lenportai a cardoel, 	et le montai seur mon cheual.  et lenportai a carduel. 	et lemportay a carduel 		e montai sopra mio cavallo  e portai a Caruel. 
Quant Uterpandragon le vit  et il sot la proesse	et quant le roy le uit  et il sceut la prouessce 	quant uterpandragons le uit et il sot sa proesse. 	Quant li roys vterpandragons vit le cheualier  et il sot la proece 	Et quant li rois le uit  et il sot la proesce 	et quant le roy artus le uit et il sceut la prouesce 		E quando il re il vide  e egli seppe la prodeza 
qu’il avoit faite  et le don 	quil auoit faicte et le don 	et le don 	que il auoit faite  et le don 	quil auoit fete:  et le don 	quil auoit faicte 		ch’egli avea fatta sel il dono 
qu’il demandoit, 	qu il auoit demande 	quil requeroit. 	quil demandoit. 	que il demandoit. 			che domandava,
si dist  qu’il l’avoit bien servi; 	si dist bien  que le lieu auoit desserui 	Si dit qu il auoit bien deserui. 	si dist  quil lauoit bien deserui 	Si dist quil lauoit bien deserui  et que bien le deuoit auoir. 			si disse  ch’egli avea si ben servito  che bene el dovea avere,
si le fist mestre en J. des sieges de la Table Reonde, 	et le fist mettre en ung des sieges de la table ronde. 	Si li fist mestre en .I. des sieges. de la table reonde. 	Si lassist en vn dez sieges de la table roonde. 	si le fist metre en .i. des sieges de la table reonde. 	si le fist mectre en ung des sieges de la table ronde 		si l fece mettere in un de' segni della Tavola Ritonda. 
et quant li parent a cels  qu’il avoit occis virent le domage 	et quant les parens de ceulx  quil auoit occiz sceurent le dommaige 	Et quant li parent a celui sorrent le damage 	Et quant li parent a ceul  quil auoit ocis virent le damage 	Et quant li parent a cels  quil auoit ocis. sorent le domage 	et quant les parens de cil  quil auoit occis uirent le dommage 		eE quando i parenti di colui  ch’avea stato morto seppono il danaggio 
que cil lor avoit fet,  si le vostrent occirre. 	quil auoit fait de leurs amis ilz le uoulurent occire 	que ciz lor auoit fait:  Si le uorrent ocirre. 	quil lor auoit fait  si le voldrent ocirre. 	quil lor auoit fet.  si le uoldrent ocirre. 	qu il leur auoit fait  si le uoudrent occire. 	que cosa hera 	che n loro avea fatto,  si l vollono uccidere, 
Mais li rois dist 	mais le roy dist 	mais li rois dit 	mais li roys dist 	Mes li rois dit 	mais le roy dist 		ma el re loro disse 
qu’il les destrui broit,  s’il metoient en lui main: si vesqui puis li chevaliers Il. jorz  et devia a la Table Reonde. 	quil les destruiroit  se ilz mettoient les mains a lui  pour lui mal faire  si nen firent plus semblant.  puis uesquit le cheualier troys iours et mourut au siege de la table ronde 	quil les destruiroit. cil metoient main a lui.  Si uesqui pus li cheualiers .ii. Iors et deuia a la tiable reonde. 	quil lez destruiroit tous  sil metoient en lui main. Si uesqui puis li cheualiers. ij. iors et demi a la table roonde 	quil les destruiroit.  sil metoient main en lui  pour mal fere.  et cil nen firent plus.  Si uesqui puis einssi. le cheualier .iii. iors.  et deuia el siege de la table reonde  quil auoit conquis. 	qu il les destruiroit  silz mectoient main en luy.  et puis uesqui le cheualier deux iours et deuia a la table ronde 	si sabia ay señor 	che lli distruggerebbe  s’elli mettessono mano a llui per lui male fare,  e que no ne feciono più.  wEsi visse  poscia il cavaiere tre giorni  e mori nel segno della Tavola Ritonda 
Et cele aventure an vi ge avenir,  et por ce, fait li hermites, 	quil auoit conquis en icelle auenture.  Comment ie uous dy en ueiz ie ainsi aduenir/ et pour ce uous demande ie  sil uous plaist 	Et cele auanture en ui ge auenir.  et  por ce fut li ermites demande ie ce il tiennent 	Et cele auenture en vi iou auenir.  Et pour ce demandoie iou. 	Et itele auenture en ui ge ia auenir.  Et pour ce uous demant ge. 	et celle auanture en uy ie aduenir.  Et par ce fait lermite demande ie 		ch’egli avea conquiso. tE di tale aventura non udi io giamai parlare, 
demande je se cil tenoient mes ceste coustume. » 	que uous me dictes se le roy tient encores celle coustume 	mais ceste coustume. 	sil tenoit mes ceste costume. 	se li rois tient cele coustume de lors. 	si ilz tiennent plus celle coustume. 		e perciò vo domand’io  se l re tiene tale costume d’allora in quas. 
Et il dist 	et monseigneur yuain dist 	et il dit 	Et mesire ywains dist 	Et misire .y. dit 	Et il dit 		foE monsignor Yvano li disse 
que nenil,  ainz failli celui jour 	que nenny.  Ains faillit le iour 	que nennil.  Ains failirent celui ior 	que nenil ains failli le ior 	que nenil ainz failli celui ior 	que nennil.  ains failly celuy iour		che non,  anzi falli a quel giorno 
que Lanceloz et Galehoz li preuz  et Hestor des Mares devindrent compaingnon de la Table Reonde	que Lancelot du lac/  et gallehault des loingtaines isles  et hector des mares uindrent a court  qui en furent compaignons 	que lanc̃. et Galehos  et li preus hector des mares deuinrent compangnon de la table reonde. 	que lancelot et Galehols  et li preus hector dez mares devindrent compaignon de la table roonde Cil 	que lanc̃. del lac.  et Galehoz des lointaingnes illes.  et hector des mares uindrent a cort.  et en furent compaignon. 	que lancelot et galehot deuindrent compaignons de la table ronde 		che Lancelotto de Lac e Galeotto, el signore de lLontan’Isole,  e Astore di Mare venero alla corte  e ne furono compagnoni, 
et s’asistrent sanz plaies, 	et qui si assirent sans playe 	et sacirrent sans plaie 	si assistrent sanz plaie auoir. 	et si assistrent sanz plaie. pour ce 	et hector des mares le preux.  ces troys sassistrent sans playes 		e vi i’asederono sanza piaghe, 
por ce qu’il n’orent pas requis le siege,	pour ce  quilz ne auoient pas requiz le siege: 	por ce  quil nauoient pas les sieges requis. 	pour ce  quil norent pas requis le siege 	quil nauoient pas requis le siege. 	par ce quilz nauoient pas requis le siege. 		per ciò che non avieno passo richiesto el segno , 
mais li rois les an avoit proiés. « 	aincoiz les auoit len requiz dy uenir 	Mais li rois les en auoit proiez. 	mais li roys lez en auoit pries. 	Ainz les auoit len requis. 			anzi il segno li richiese. 
Si mistrent, fait mes sire Vvain, une autre coustume 	mais ilz y amenerent fist monseigneur yuain une autre coustume 	Si i mirent fait messires y. une autre coustume 	Si y misent vne autre coustume 	mes il y amenerent fet misire .y. une autre coustume. 	si y mistrent fait messire yuain une autre coustume 		aMa e' v’amenavano, disse monsignor Yvano, un'altra costuma,
qui n’est pas mains anuieuse  que cele devant, 	qui y est assez plus enuieuse que celle  que auez comptee 	qui nest pias mainns anuieuse  que cele deuant. 	qui nest mie mains anieuse:  que cele sdel 	qui est assez plus anuieuse que cele deuant. 	qui nest pas moins ennuyeuse que celle de deuant. 		ch’è assai più invisiosa che quella davanti, 
que nus ne puet mais seoir a haute feste, 	car nul ne y peult seoir aux haultes festes 	Que nus ni puet  mais seoir a haute feste 	deuant quar nus ni puet mais seoir a haute feste 	Car nus ni puet mes seoir as hautes festes. 	Car nul n y puet seoir a haute feste 		ché nullo non puote ma sedere a l’alte feste, 
s’il ne jure sor sainz 	sil ne iure sur ains 	ce il ne Iure sor sains	Sil ne iure sor sains auant. 	sil ne iure seur sainz 	qui ne iure sur sains 		se non giura sopra i santi 
qu’il a conquis chevalier en la semainne par prouesce d’armes. » a Assez parlerent cele nuit de la cort  et tant que mes sire Yvain demanda a l’ermite: «  Biaux sire. j’ai hui veu ci devant en I. val .V. pavillons tanduz devant I. arbre	qu il a conquiz ung cheualier la semeine de deuant par force darmes. Assez parlerent ensemble celle nuyt de la court tant  que monseigneur yuain demanda la nuit a lermite. Sire iay ueu icy la dessoubz en une uallee six pauillons tendus deuant ung arbre 	quil a conquis cheualier en la semainne par sa proesce.  Ases out parle de la cort cele nuit.  Tant que messires .y. dit a lermite biax sire iai hui ueu en .i. ual .u. pauillons tandus ci deuant et .i. arbre 	quil a conquis cheualiers en la semaine par proece darmes.  Si mait diex fet li preudoms ceste costume est asses anieuse.  Ases parlerent cele nuit de la cort.  Et tant que mesire ywains li demande  et dist Sire iai hui  ci pres ueu en. j. val. ij. pauellons tendus deuant vn arbre 	que il a conquis cheualier en la semaine. par proesce darmes.  Assez parlerent cele nuit de la court.  tant que misire .y. demanda a lermite. Sire;  Ge ai ueu ca desouz en une ualee .ui. paueillons tenduz deuant .i. arbre. 	quil a conquis cheualier par prouesce darmes  Assez parlerent celle nuyt de la court  et tant que messire yuain demanda a lermite. Beau sire iay huy ueu cy en ung ual .u. paueillons deuant ung arbre 	que gran mal fezistes dixo el hermitaño 	ch’egli à conquisi cavalieri nella settimana per prodeza d’armes.  Alssai parlarono  quella notte della corte  tanto che monsignor Yvano domandò al romito: eaSire, io ho veduto, qua di sotto una valle, sette padiglioni tesi davanti un albero ove pendeva uno scudo bianco sanza punto di 
ou il pandoit I. escu blanc goté a noir  et dedenz avoit damoiseles 	ou il pendoit ung escu blanc a gouttes de noir/  et de dens les pauillens y auoit aucunes damoiselles 	ou il pandoit .i. escu blanc goute de noir. et dedens le pauillon auoit damoiseles 	ou il pendoit. j. escu blanc goute de noir. et dedens lun dez paueillons auoit dames 	ou il pendoit .i. escu blanc goute de noir.  Et dedenz les paueillons auoient damoiseles. 	ou il pendoit ung escu blanc.  et dedans auoit damoiseles 		vivorio;e di dentro i padiglioni avea damigelle 
qui menoient grant duel. Savez vos 	qui menoient moult grant dueil scauez uous 	qui menoient trop grant duel. sauez uos 	qui menoient molt grant doel.	qui molt fesoient grant duel. sauriez uous 	qui menoient grant deul. Scauez uous 		che molto facieno grande duolo. Sapreste 
por quoi il le faisoient ? —  Nenil, fait li prodons, 	pour quoy cest Nenny certes fist il 	por qoi ele le faisoient nenil fait li preudons ce 	Et saues vous fait il porcoi elles le menoient.  Nenil voir fait li preudoms. 	pour quoi ce est.  Nenil uoir fet il. 	pour quoy elles faisoient.  nennil fait le preudomme 	que poresto 	perché ciò est? - Non, diss’elli, 
se aucuns n’a forfait a Maudit le Jaiant. —  Coment li forferoit on ? fait mes sire Yvain. —  Qui abatroit, fet il, l’escu  que vos veistes 	se aucun ne a forfait  a mauduit le geant/  et comment quoy fist messire yuain le pourroit len courroucer de abatre fist il lescu  que uous ueistes/ 	aucuns na forfait a mauduit le Iaiant.  Coument li forferoit on fait messires .y.  Qui abateroit fait il son escu  que uos ueistes.	Se aucuns na forfait a mauduit: le iaiant.  Comment fait mesire  ywains li forferoit on  Ce vous dirai iou bien fait li prodoms.  qui abatroit son escu  que vous ueistes 	se aucuns na forfet a malduit le Iaiant.  Et comment li forsferoit len. fait misire .y.  qui abatroit fet il lescu  que uous ueistes. 	se aucun forfait  na a mandin le geant.  Comment luy forseroit l en fait messire yuain.  Qui abatroit fait il lescu  que uous ueistes 	que fezistes saldra dela prision mandus el jaian  que matara 	s’alcuno non à forfatto a Maldotto il Giogante.  — E come li forfarebbe l’uomo?, disse monsignor Yvano.  — Chi abattesse lo scudo  che vo vedeste 
