	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
454|455|456	Se vos leviés demain matin, vos i seriés ains prime. — |Ou le porrai je, fet il, trover ? — |Al chastel a, fet ele, de Floego 	se uous leuiez demain matin uus i seriez ains tierce. |Ou la porroie ge fait il trouer. Au chastel fait ele de floego. 	Se vous moues demain matin vous y seres dedens prime |Et ou le porroie iou fait il trouuer. |En la forest fait elle de floregas. 	se uous leuiez demain matin uous y seriez auant prime |Ou la pourray ie fait il trouuer|ou chastel de fleago fait ella 	et|se uous partiez demain matin uous y seriez demain a prime. |Et|ou la pourroie ie fait il trouuer. En la forest de florega:	e si quisieredes Bien podedes yr alla a ora de Prima Ado la podre fallar dixo lançarote |enla floresta de donseglorega dixo la donçella 	che sei leghe |inghilesche:se vo' vi levate domane mattino vo' vi sarete inanzi prima. |—E ove la potrò io, disse, |trovare?-Al castello, diss’ella, di Fleego, 
457	et cis chemins vos i menra droit, 	et ciz chemins uos i merroit 	Et chis chemins vous y menra tot droit 	et ce chemin uous y mennra droit 	et ce chemin icy uous y menera tout droit 	e este camino vos lleuara alla 	e questo camino vo' vi menerà tutto diritto
458	se vos le volés tenir. — 	se uos le uoliez tenir. 	se vous le saues tenir 	se uous le uoulez tennir. 	se uous le sauez tenir. Il se part de la damoiselle 	si lo supieredes guardar 	se voi il volete tenere. 
459|460	Or vos commant a Dieu, damoisele », fet il.|Si s’em part atant 	Or uos comant a dieu damoisele fait il. |si sen part. 	Or vous commanch iou a dieu damoisele fait il. |si sen torne atant. 	Oe uous commande ie a dieu damoisele fait il. |si sem part atant 	et la commande a dieu. 	Pues a dios vos encomiendo dixo el |e luego se partio el vno del otro 	— Or vo comando a dDio, damigella, diss’ell». |Si si parte atanto, 
461	et cele s’en vet faisant son duel. 	et sele sen ua faisant son duel. 	Et cele sen uait faisant son doel. 	et elle sen uait faisant son deul. 	Et celle sen reua faisant son deul. 	e la donçella yua llorando 	ed ella se ne va faccendo suo duolo, 
462|463|464	Et il chevalche |tant |qu’il vint fors de la forest, 	et il cheuauche|tant quil uient fors de la forest. 	Et lancelot cheualche |tant |que il vint hors de la forest. 	Et il cheuauche |tant quel uient hors de la fourest	et il cheuauche tant|quil uint hors de la forest 	e la donçella yua agora tanto porsu camyno |fastaque salio dela floresta 	ed e' cavalca |tanto che viene fuori della foresta, 
465|466|467|468	si vit devant lui une maison de religion |et il torne cele part |por herbergier.|Et quant il i vint, 	Si uoit deuant lui une maison de religion. |et il torne cele part |por herbreger. |et quant il i est uenus 	si voit deuant lui vne maison de religion. |si torne cele part pour herbergier. |Et quant il vint la 	si uoit deuant luy une maison de religion. |et il tourne celle part pour herbrega. |Et quant il y uint 	si uoit deuant lui une maison de religion.Il tourne celle part pour hebergier. |Et quant il uint la	e llego avna casa de Religion |e el fue alla por aluergar 	si vide davanti lui una magion di riligion. |Elli torna in quelle parti per albergare |e quand’e' vi viene, 
469	si trueve a la porte IlII. des freres 	si trueue a la porte iiii freres. 	si trouua. ij. freres 	si treuue a la porte quatre des freres 	si trouua deux freres 	e fallo ala puerta dos frailes 	si truova alla porta quatro de' frati di là entro 
470	qui ja avoient chanté complie 	qui ia auoient chantee complie 	qui auoient cante complie. 	qui ia auoient chante complies. 	qui auoient chantee complie: 	que auian dicho conpletas 	che avieno già cantato compieta 
471	et estoient venu hors? al serain;	et estoient uenu au serain. 	Si estoient venu au serain. 	et estoient uenuz au serain. 	et ilz estoient uenus hors au serain 	e estauan al ayre 	e erano venuti di fuori al sereno. 
472|473|474	si saillent encontre lui |por fere descendre |et dient 	Si saillent encontre lui por liu dessandre. 	si saillent sus encontre lui |por lui desarmer. |et dient 	si saillent encontre luy |pour le descendre |et dient 	si saillent encontre lui |pour le descendre |et dient	e ellos fueron contrael |porlo ayudar a desçender e dixeron 	S salgono incontro a-llui |per lui discendere |e dicono
475|476|477|478|479	que bien soit il venus; |si le font entrer laiens |et li demandent |s’il a mengié, |et il dist 	Oroient que bien soit il uenus. sire font entrer laiens. |et li demandent cil a mengue |et il dit 	que bien soit il venus. |si le font entrer laiens |et li demandent |sil manga hui.|Et il dist 	que bien soit il uenu. |si le font entrer leans. |et luy demandent|sil a mange |et il dit 	que bien soit il uenu. |aprez lui demandent |sil menga huy. Il dit 	que vien fuese venido |e Metieronlo enel monesterio |e los frailes le dixeron |señor auedes / oy comido no señores dixo el 	che bene sia elli venuto; |sì 'l fanno entrare là entro |e lo domandano |s’egli à mangiato, |ed e' dice 
480|481	que nenil, |et il font erraument mettre la table, 	que nennil. |et il font erraumet mestre la la table. 	que nenil. |Et il font maintenant metre la table a lor sergans et la nape ; |et puis le pain et le vin dessus. 	que non. |Et ilz font erraument mectre la table. 	que nenny. |et ilz font incentinent mettre la table le pain|et le uin dessus 	e luego mandaron ellos quele pusiesen la mesa 	che non, |ed e' fanno isnellamente mettere le tavole, 
482|483|484|485	mais il dist |qu’il ne mengera devant |qu’il ait esté al mostier, |lar il n’i entra hui. 	mais il dit|quil ne mangera |deuant quil ait este en mostier. |Car il ni entra encor hui. 	Et il dist |quil ne mangera mie deuant ce|quil ait este el moustier. |si y dira sez orisons. |Car il|ni auoit hui este. 	Mais il dit |quil ne mangera deuant ce quel ait este au monstier. |Car il ny entra huy. 	mais il dit |qu il ne mengera |deuant|quil ait este au monstier dire ses oraisons |car il ny auoit huy este 	mas lançarote no quiso luego comer |ante dixo 	ma e' dice |che non mangerà davanti|ch’egli abbia stato nel mestieri, |ché non v’entrò tre giorni avea. 
486|487	Lors entre en l’eglise. |por orer et en ce qu’il se fu agenoilliés, 	Lors entre lanceloz en lesglise |por orer et en ce |quil se fu agenoilliez 	Lors sen entre en leglise pour orer. |Et en ce |quil su a genoillons 	Lors entre en leglise pour orer |Et ainsi |quil sen fu agenouille 	Lors entre en leglise |et ainsi 	que entraria enla yglesia por fazer oraçion 	Allora entrò nella chiesa per adorare, |e'n ciò che si fu aginocchiato, 
488	si regarde a destre	si garde a destre 	si regarde deuers destre partie et voit. j. prones de fer 	si regarde a destre 	quil fut agenoullons si regarde a dextre partie 	e desque el entro enla yglesia finco los ynojos e el façiendo oraçion cato asu diestro 	si riguarda a destra 
489|490	et voit unes prones d’argent trop richement fetes a floretes d’or et a oisials et a bestes, |et dedens avoit V. chevaliers armés, les hialmes es testes, les espees es mains, 	si uoit unes prones de fer dargent trop richemet faites et florestes dor. |et a oisiax et a bestes. |et dedans auoit u.. cheualiers tous armes les hiaumes laciez les espees es mains 	et dargent moult bien faites a flor cestes: dor et a bestes et a oisiaus de diuerses manieres et dedens auoit. v. Cheualiers armes de toutes armes |si com de heaumes en testes et despees es mains 	et uoit unes prones dargent trop richement faute a flouretes dor et a oiseaux et a bestes. |et dedans auoit cincq cheualiers armez ses heaumes es testes les espees es mains 	et uoit unes prones dargent moult bien faictes a florectes dor a bestes et a oiseaulx de diuerses manieres Dedens auoit cinq cheualiers armez de toutes armes les espees en leurs mains	e vio vnos arcos de plata muy Ricamente fechos |a flores de oro |e a bestias de diuersas maneras |e ante ellos estauan çinco caualleros armados de todas armas elos yelmos enlas cabezas 	e vide uno intagliamento d’argento troppo riccamente fatto a fioretti d’oro e a uccelli e a bestie, |e di dentro avea v. cavalieri armati. ? Elli isguarda lo ntagliamento, |che troppo est ricco, molto lungamente, |si vide |ch’e cavalieri avieno gli elmi in testa, le spade in mano, 
491|492|493	ausi apresté de deffendre |que|se l’en les volsist asaillir. 	ausi aprestes de desfandre: |comme se len les uosist asaillir. 	et aussi pres de euls desfendre|que se on les volsist assaillir. 	aussi aprestez de deffendre |commen se len les uoulsist assaillir . 	ainsi prestz a deffendre |comme se len uoulsist assaillir. 	e las espadas enlas manos |como si quisiesen defender de algunos |quelos quisiesen acometer 	altresi aprestati d’asalire |come se l’uomo gli dovesse manomettere. 
494|495|496|497	De ce se merveilla molt Lancelos ;|si se drece erraument |et vet cele part, |si salue les chevaliers	Si se meruilla mout lanc̃. |si se dresce erraument. |et ua cele part |et salue les cheualiers. 	Ne chou sesmerueille moult lancelot. et se drece em pies |si vait cele part |et salue lez cheualiers.	De ce se merueille moult lancelot. |si se drece erranment |et uait celle part |si salue les cheualiers. 	De ce se merueille lancelot |si se dresse sur piez |et ua celle part et salue les cheualiers. 	Desto se marauillo mucho lançarote |e fue alla contraellos e ellos le dixeron |señor bien seades venido 	api ciò si maraviglia molto Lancellotto, |si diriza isnellamente |e va in quelle parti, |si saluta i cavalieri, 
498|499	et il dient |que bien soit il venus. 	et il dient|que bien soit il uenus . 	Et il li dient |que bien soit il venus. 	et ilz dient |que bien soit il uenu. 	Et ilz dient |que bien soit il uenu. 	e el les rrindio sus saludes 	e dicono |che ben sia elli venuto. 
500|501|502	Et il entre dedens les prones par un petit huisselet a |et esgarde les prones|qui tant sont riches 	et il entre dedens les prones par .i. petit usselet. |et esgarde les prones |qui tant sont riches	Et lancelot entre dedens les prones |qui tant sont beles et riches. 	Et il entre parmy ung petit huisset dedans les proues. |Et regarde les prones|qui sont tant riches 	et lancelot entre dedens les prones par ung petit huysset |et regarde les prones |qui tant sont belles et riches 	e lançarote cato vn poco los arcos |Porque heran muy Ricos e muy fermosos 	Ed elli entra di dentro el chiuso, |ov'era lo nta. elli ella glio, per un piccolo uscio di ferro, |e guarda lo ntaglio |che tanto est ricco 
			Et regarde lez prones 				
503	qu’il ne cuide pas 	quil ne cuide pas 	quil ne quide pas 	que il ne cuide pas 	quil ne cuide pas 	que vien cuidaua 	che non crede passo 
504	que nus rois les peust esligier; 	que uus rois les poist eligier. 	que vns roys lez peust esligier.	que ung roy les peust esliger. 	que ung roy les peust esligier. 	Que vn Rey No los podia tales façer 	che nullo re il potesse fare fare, 
505	puis voit delés les chevaliers une tombe, la plus riche	et puis uoit deles les cheualiers une tonbe la plus riche 	Et voit deles lez cheualiers vne tombe la plus riche 	Et puis uoit de la les cheualiers une tombe la plus riche 	et uoit delez les cheualiers une tombe la plus riche 	e el asi Catando vio dentro enlos arcos vna muy Rica tumba 	e vide dallato il cavaliere una tomba, la più ricca 
506|507|508|509|510|511	qui onques fust fete par home, |kar ele ert tote d’or fin a chieres pierres precioses |qui molt valoient miels d’un grant roialme. |Se la tumbe fu de grant bialté, |nient ne monte la bialtés envers la richece |dont ele estoit 	qui onques fust ueue. par home . |Car ele ert tote dor fin a pierres precieusez |qui plus ualoient dun roiamne. et dee la conbe fu de grant biaute. |Noiant monte a la richesce |dont ele estoit. 	que onques fust ueue de nul cheualier |Car elle estoit toute de fin or a pierres precieuses |qui valoient. j. grant royalme. |Et se la tombe estoit de grant biaute. noient fu de la grant rikece |dont elle estoit. 	qui oncquez fust ueue par hom̃e. |car elle estoit toute dor fin a pierres precieuses |qui plus ualoient dung grant royaume De la tombe fu de grant beaute riens ne monte la biaute enuers la richece |dont elle estoit. 	que encques feust ueue de nul homme: |car elle estoit de fin or a pierres precieuses |qui plus ualloient |que ung grant royaume. |Et se la tombe fut de grant beaute/ |ce nestoit riens enuers la grant richesse: 	qual nunca tal viera el ni ome del mundo que hera toda de oro fino e de piedras preçiosas |que estaua toda labrada de diuersas maneras |e de muy muchas cosas de figuras |e de otras cosas |que tal tumba de tal manera nunca viera |ni ome del mundo |que la non ouiese visto no podria asmar la fermosura 	ch’unque fosse veduta per huomo, |ch’ell’era tutto d’oro fine a pietre pretiose |che più valieno d’uno gran reame. |Se-lla tomba fu di gran biltà, niente fu della biltà inverso la riccheza |dond’ella era piena e Pntorniata, 
512	et avec ce estoit ele la greignor 	et auec ce estoit ele la grignors 	Et auec tout chou estoit elle la plus grande 	et auec ce estoit elle sa plus grant 	et auec ce estoit elle la greigneure	que enella auia de tales cosas 	e con esso ciò era ella la magiore
513	que Lancelos eust onques veue : 	que lanc̃. ueist onques. 	quil eust ao onques mais veue. 	que lancelot eut oncquez ueue 	qu il uist encques. 	como enella estauan e don lançarote se marauillo 	che Lancellotto avesse unque veduta. Molto lungamente riguarda Lancellotto la tomba che troppo gli sembia oltragiosamente piena di gran riccheza, |si sarebbe a suo aviso al re Artù, 
514|515	si se merveille molt |qui puet estre li princes 	Si se merueille mout |qui pot estre li princes 	Si sen est trop merueillies |qui li princes pooit estre 	si se merueille moult |qui puet estre le prince 	si est moult esmerueillie |qui pouoit estre le prince 	e dixo entresi mesmo |Quien podria ser el prinçipe |que enella yaçia 	e molto si maraviglia chio può essere el principe 
							che di dentro fu messo. 
516	qui dedens fu mis. Il demande as chevaliers 	qui dedens fu mis. |si demande as cheualiers 	qui illueques estoit mis |Et il demande as cheualiers 	qui dedans fu mis Il demande es cheualiers	qui fut illec mis. |Et il demande aux cheualiers 	e lançarote pregunto alos caualleros |e dixo 	Quand’egli à molto isguardato, |si domanda e cavalieri 
517	qui sont iluec. « Sire, font il, nos gardons le cors	que il font illuec. Sire font il nos garoons le cors 	que il font illueques. Sire font il nous gardons le cors 	quilz font ilecquez. Sire font ilz nous gardons le corps 	qui illec sont de quoy ilz seruent. Sire nous gardons le corps 	señores que estades aqui façiendo |señor dixeron los caualleros nos guardamos el cuerpo 	che fanno nel luogo. Sire, dicono elli, |noi guardiamo il corpo 
