a	b	c	d	e
546	qui dient Ci gist Galehout li fiz a la Jaiande li sires des Lointaignes Isles a	qui disoient|Chi gist Galehols li fils a la bele iaiande li sires dez lontaignes illes	que deçian aqui yaze galeote el fijo dela fermosa Jaiana	il figliuolo della Bella Gigante|il signore de lLontane Isole	qui disoiẽt|Icy gist gallchault le filz a la garande
547	qui por l amor de Lancelot morut	qui por lamor de lancelot del lac morut	que por amor de lançarote murio	che per l amore di Lancellotto mori	qui pour lamour de lancelot mourust
548	Et quant il vit ce	Et quant il voit chou			⁊ il uoit ce
549|550	si chiet pasmés|et gist grant piece a terre sans mot dire;	si chiet a terre tous pasmes|et iut grant piece sans dire mot	e quando lançarote ovo las letras leydo cayo amorteçido en tierra	si cadde ispasimato|e giacque gran peza a terra sanza motto dire	si chiet pausme|⁊ geust grãt piece a terre sãs mot dire
551	et li chevalier le corent relever	Et li cheualier coerent a lui|por e lui releuer	e estubo	E cavalieri il corsono a rilevare	et les cheualiers le courẽt releuer
552|553	si se merveillent molt qu il puet estre|Et quant il revint de pasmison	qui moult sesmerueillent|qui il poet estre|Et quant il est reuenus de pasmisons	ansi gran pieça	si si maravigliarono molto tutti chi egli può essere|e quand e' può rivenire di spasimagione|si grida	si se merueil lent|qui il peult estre|Et quant il estleue de paumoisõs
				A	
554|555	si s escrie Ha las!|Quel dolor	si dist ha : diex|quel doel	que no pudo fablar	!|lasso|qual dolore	si se escrie|⁊ dist|Helas q̃lle dou leur|quel ennuy
			e los caualleros fueron ael porlo leuantar		
			e mucho se marauillauan		
			que podia Aquello ser		
			e quando lançarote acordo començo a dar vozes		
			e a dezir ay		
			que duelo		
556	et quel damage	et quel damage	e que daño	e quale damaggiob	⁊ q̃l dõmage
		& quel anui			
557|558	Et lors fiert l un poing en l autre|et esgratine son viaire	Lors fiert lun poing sor lautre|et esgratine son visage	e luego començo a dar del vn puño enel otro|e a rrascar el Rostro	Allor fiede l uno pugno a l altro|e sgraffia suo viso	lors se tourne apart
559	si qu il en fet le sanc salir de totes pars	si quil en fait le sanc saillir	asi que la sangre le salia|por todas partes	sicché ne fa il sangue salire di tutte parti|e si prende	
560|561	si se prent as chevels|et se fiert grans cops del poing en mi le front	Si se prent par ses cheueus|et se fiert del poing grans cops en mi le vis	e a mesar sus fermosos cabellos|e a darse puñadas grandes enel rrostro	e dirappa|e be' capelli|e si fiede gran pugni nel miluogo della faccia	et pleure
562|563|564	et en mi le pis|et crie|si durement qu il n i a celui	et pleure|si durement|que il ni a celui	e enlos pechos|e a dar tales vozes	e nel miluogo del petto|e grida|si duramente|che non v à colui	⁊ crie monlt duremẽt
565|566	qui tote pitiés n en preigne;|si se laidenge	qui nen ait pitie|Si laidenge	que todos auian piedad del	che tutta piatà non abbia|Si si ladeggia	si q̃ cest pitie de le uoir
567	et maldit l ore qu il fu nes	& maudist leure|que il onques fu nes	e maldeçia el dia en|que fuera nasçido	e maladice l ora|che fu nato	et maul dit leure|qui fust onq̃s ne
568	et dit Ha Diex !		e deçia ay	e dice|: Al	et dit|Haa dieux
569|570|571|572	Quel damage|quel perte del plus preudome del monde|qui mors est|por le plus vil chevalier	quant si preudoms est mors pour lui Moult fait lancelot grant doel|& grant cri	que duelo|e que daño morir el mejor ome del mundo porel|mas mal Cauallero	quale damaggio|e quale perdita del produomo del mondo|ch è morto per lo più malvagio cavaliere del mondo	quel dõmage|et q̃lle ꝑie du plus pieudõme du mõ de
573|574	et por le plus malvés|qui onques fust ! Tant fet Lancelos grant duel	&	e mas malauenturado|que enel es Mucho fiço lançarote gran llanto|e daua tales vozes	e ch unque fosseb|anto fa Lancellotto gran duolo	
575	que tuit cil de laiens le vienent regarder a merveille;	tant que cil de laiens le regardent a meruelles	que todo el mundo lo cataua|e se marauillaua del	che tutti que di là entro el vengono a risguardare a maraviglia	ceulx de leans le regardent a merueilles
576|577	si li demandent|qui il est	Si li demandent|qui il est	e preguntaronle|como auia nombre	sillo domandano chi egli è	aĩs crie
578	et il ne puet mot dire ains crie totes voies	Et il ne lor pot mot dire ains pleure toutes voies	mas el no podia Responder Ante daua vozes	ed e' non lor può motto dire|anzi grida tuttavia	
579	et se debat	et se debat	e gritos todavia	e si dibatte	et se debat
				e si ditira	
580|581|582	et descire|Quant il a son duel demené grant piece|si regarde les letres	& deschire|Et quant il ot grant piece son doel mene|Si regarde les lettres	e desque el fiço su duelo gran pieça cato las letras otra vez|e quando vio	e si distorce||sicché tutto est lasso|elli isguarda le lettere	et deschire|et apies qͥl a son deul demene grãt piece il regar de les lettres
583|584|585|586	qui dient|que por lui est mors Galehout;|si dist|que or seroit il trop malvés s il ausi ne moroit	qui dient|que pour lui morut Galeholt|Lors dist|que trop seroit maluais sil ne moroit Ie aussi pour lui	que deçia|Que Porel hera Muerto dixo|que asaz seria mal auenturado|si porel no muriese	che dicieno|che per lui era morto Galeotto|e potesse huomo vedere isbigotito|e sperduto|che or|si tiene elli troppo malvagio	qui diẽt q̃ pour luy mourust galle|Si dist q̃ ores seroit biẽ mau uais sil ne mouroit pour lup
				si s à fedito di molti gran colpi nella faccia	
				ma nella fine dice elli	
587|588|589	por lui:si saut maintenant jus des prones|et pensa qu il iroit querre s espee|et qu il s en ocirroit	Si saut maintenant hors dez prones|et pense quil yroit querre sespee|et quil sen ochirra	e luego se partio dende|e fuese buscar su espada	|Si salta immantanente fuori del chiuso|e disse|ch elli andrà a chiedere sua spada|e disse|che se n ucidrà	Si sault hoie du prosne ct dist q̃ il yra querir son espee|et q̃ il se occira quãt ainsy est galle
590	kar ausi avoit ele esté Galehout a		para se matar conella	ch altresi avea ella stata di Galeotto	moit pour lui
591|592	Et maintenant qu il fu issus del mostier|si encontra une des damoiseles del Lac cele	Et maintenant quil fu hors del moustier|si encontra la damsolisele sa la damel del lac|Cele	e luego el sabiendo Dela yglesia encontro con vna donzella dela dueña del lago aquella	E mmantanente|ch elli fu uscito del monistero|sì incontrò una damigella di Lac|quella	et a lissue du mõstieril encq̃tra une des damoisilles a la dame du lac celle a
593	qui a Boort avoit parlé devant le chastel de Honguefort	qui a bohort auoit parle deuant le castel de hongrefort|"	que fallo con Boores ante el castillo de ongeforte	che a Boordo avea parlato davanti il castello d Unguelforte|;	qui boort auoit parle au chastel de honguesfort
594|595	et ele le conuit bien|si le prent par le pan de la cote	et elle le connoist bien|si le prent par le poing	e ella lo conoçio|e trauole dela mano	e ella il cognoscea bene|si l prende per lo panno della cotta	et celle le print par le poĩg
596|597	et l areste|Qu est ce	& lareste	e tirolo contrasi	e l aresta|	et le arreste|quoy saĩt elle ou alles uous ainsp|Haa damoiselle fait il laissies moy mes douleurs parfournir
598|599|600	? fet ele|Ou alés vos ensi|? — Ha damoisele fet il laissiés moi mes dolors finer lkar jamés n avroie joie ne repos en cest siecle	Que est che fait elle ou ales vous ensi|ha : damoisele fet il laissies moi mes dolors acomplir|Car iamais naurai ioie ne repos	e dixole ado ydes vos|asi ay donçella dixo lançarote dexadme mis dolores acabar	?|diss ella|Ove andate voi insi|lasciateme mio dolor finire|ché giamai non arò gioia né pace in questo secolo	car ia|mais ne auray ioie ne repos en ce siecle
				: — Hal	
				diss elli	
		en cest siecle			
601	— Parlés fet ele a moi	parles a moi fait elle	que jamas no abre plazer ni folgura eneste mundo fablad conmigo dixo la donçella	—Parlate a me|!	Par|les a moy faĩt elle
				disse ella	
				ed	
602|603	Et il ne li dit mot ains se lance outre|si qu il li eschape des mains	Et il ne respont nul mot|ains se lance outre|si quil li escape des mains	e el no le rrespondio palabra antese escapo dela mano	e non le fa motto|anzi|si lancia oltre|si che lle ismuccia delle mani	⁊ il ne lup cespõt mot ains se lance oultre|si q̃ il luy eschappe des mains
604	Et quant ele l en vit aler	Et quant elle len voit ainsi aler	e se fue	Equand ella ne l vide andare	et quãt elle le uoit ainsp aller sidist
605|606	si li crie Je vos deffent fet ele par la rien|que vos plus amez en cest monde	Si dist|Sire iou vous desfent par la riens|que vous plus ames en chest siecle	e quando la donçella esto vido dixole señor yo vos defiendo porla cosa del mundo	si llo grida|d vo difendo|diss ella|per la cosa|che vo' più amate nel mondo	Sire ie uous deffens de par la riens q̃ plus aimes q̃ uous ne alles en auant premier
607	que vos n ailliés avant	que vous nales auant deuant	que mas amades|que no vaiades	che vo non andiate più avanti infino a	
608	tant que vos aiés parlé a moi	que vous aies parle a moi	mas adelante fastaque fabledes conmigo	tanto che vo' non avete parlato a meb	que aies ple a moy
609|610	Et il s areste|si la regarde	Et il sareste|et le regarde	e lançarote se detubo luego	Ed e' s aresta|si lla risguarda	et il sarreste|si la regarde
611|612	et quant il la conut|si li dist	& le connoist|& li a dit	e la cato tanto|que la conoçio	e quand e' la conosce|si dice	Et il la con gnoit il dist q̃ bien soit elle uenue
613|614	que bien soit ele venue|En non Dieu fet ele vos me deuissiés fere plus bele chiere	que bien soit elle venue En Non dieu sire fait elle vous me deussies faire plus bele chiere	e dixole donçella vien seades venida Pardios dixo ella vos deuedes fazer	che bene sia ella venuta|A nome di Dio|diss'ella	Eu nõ dieu fait elfe uoꝰ me deussies faire plus belle chere
615|616|617|618	que vos ne me fetes al mains|por ce|que je sui messages vostre dame del Lac|— Ha damoisele fet il	que vous ne faites|Au mains pour ce|que iou sui a ma dame del lac|la vostre dame Damoisele fet lancelot or ne vous poist	mas alegre cara de|Quanto façedes|Por quanto yo so mensaxera devuestra señora la donçella del lago dixo el non vos pese	vo mi dovreste fare più bella cera|che vo' non fate|ch almeno sono io messaggio di vostra dama di Lacco|! —Hal|damigella	que uons ne faictes au moĩs pource|que ie sups a uostre dame du lac|damoiselle faitit Gecorde ne uoꝰ desplaise
				per Dio	
619|620|621|622	por Dieu ne vos poist certes je ai tant de dolor|que nus for Diex ne me porroit conforter ne a ne cuidiés|que jamés aie joie|por aventure	& ne quidies mie|que iou aie iames ioie|pour auenture	ca no cuidedes|que jamas aya yo plazer ni alegria|por auentura	non vo ne pesil Certo|i ' ò tanto dolore|che nullo fôrse lddio non mi potrebbe riconfortare|né non credere passo|ch io giamai abia gioia per aventura	⁊ necuidiez pas q̃ iamaiz laie ioie pour auãture
623|624	qui me puist avenir|— En non Dieu fet ele	qui me puist auenir|Enon dieu fet elle	que me venga Pordios dixo la donçella	che possa avenire|—eA nome di Dio|diss ella	qui me puisse aduenir|Eu nõ dieu fait elle
625|626	si avrois|Escotez	Si aures|? Ore escoutes	si aueredes agora sabed	si arete|Ascoltate	si aures|Or escoutes
627|628|629|630	que ma dame vos mande|— Or dites fet il||que vos ostés le cors Galehout de caiens	que ma dame vous mande|Elle vous mande|que vous ostes le cors Galehot de chaiens	que mi señora vos ymbia a deçir|que vos tiredes el cuerpo de galeote de aqui	che mia dama vo manda|— Or dite|damigella|diss elli|— Ella vuole|diss ella|che voi traiate il corpo di Galeotto di qui	que ma dame uous mande Elle uoꝰ mande q̃ uous ostes le corps de gallehault|qui est ceãs
				e l fate portare	
631	et le fetes porter en litiere en la Dolerose Garde	& len faites porter a la ioieuse garde	e lo fagades lleuar al castillo dela dolorosa guarda	in quello medesimo vasello ov'egli è|nel castello della Dolorosa Guardia	et le faĩctes poiter dedẽs le chastel de la douloureu se garde
632|633|634	et iluec soit mis en la tombe meismes ou vos trovastes vostre non escrit;|et ele le velt ensi|por ce qu ele set bien	et illueques soit mis en la tombe ou vous trouastes uostre non escrit|Et elle le vseut a ensi pour chou quele sest bien	e lo fagades meter en aquella tumba mesma ado fallastes su cuerpo escripto|ca ella lo quiere	Nel luogo sia messo nella tomba medesima ove vo' trovaste vostro nome iscritto|ch ella il vuole insi|per ciò|ch ella sa bene	et soit mis en la tõbe ou uous trouuastez son nom en escriptet elle le ueul ainsp pource quelle scait bien
635|636|637	que en cel lieu sera vostre cors enterrez|Et quant il l ot|si en est molt liés	que en celui meisme lieu sera vostres cors enterres|Et quant lancelot entent chou Isi est moult lies	ansi Ca el vuestro cuerpo mesmo sera y enterrado conel|e quando el esto oyo fue muy alegre	che n quello luogo sarà vostro corpo sotterrato|E quand e' l ode|sì n è molto lieto	que en ce mesmes lieu sera uostre corps enterre
638|639	et dist|que molt li sont ces noveles plaisans	et dist|que moult li sont ches noueles fplaisans	e dixola|que Mucho heran aquellas nuebas plazenteras	e dice|che molto gli sono queste novelle piacenti	Et quãt il entent ce sp dist q̃ moult luy sõt ces nouuelles plaisãs
640|641|642	kar tot ensi le fera il ;|puis demande comment sa dame le fet|Par foi fet ele ele a esté	car toutl ensi le fera il|Puis demande conment|que sa dame le fait|Par foil fait elle|Madame a estet	que asi lo faria Puesque ella lo ymbiaua a mandar|Por buena fee dixo la donçella vien a ocho dias	ché tutto insì il farà elli|Poscia domanda come sua dama il fa|Per fé|diss ella	car tout ainsp le fera il|pups demãde cõmẽt sa dãe le fait par ma foy elle a este uiii
643|644	VIlI|jors deshaitiee trop durement	viii|iours mallade mosult durement	Que vuestra señora esta muy triste	ella à stata otto giorni disatata troppo duramente	iours mal ade duremẽt
